4557609
/m/0c8s90
/m/0c8s90
Richard Kelly
2006-06-28

100000 2
102 1
2005 1
2008 2
30 1
4 1
a 29
abandoned 1
about 6
across 3
action 1
advantage 1
again 1
agrees 1
all 1
alone 1
along 1
also 3
am 1
american 1
amnesia 3
an 4
and 36
answers 1
any 1
anything 2
anyways 1
apparently 1
approaches 1
are 1
armedmen 1
around 1
as 1
asks 5
assimilated 1
astrophysics 1
at 7
attacked 1
away 1
back 2
balducci 1
bang 1
bank 1
bar 1
be 2
because 2
before 2
begin 2
begins 5
belonging 1
big 1
bills 5
board 1
boat 1
body 1
book 1
bookies 3
border 4
boxer 22
boxers 2
bring 1
broken 1
buffalo 5
burnedup 1
but 6
buy 1
by 5
call 1
called 3
can 2
cane 1
cant 1
car 1
chance 1
character 2
check 1
classical 1
conditionplay 1
confused 1
connection 1
contact 1
contains 1
contract 2
convinced 1
convincing 1
cop 1
copy 1
corpse 2
cover 1
created 2
cross 1
currently 1
dancer 1
date 1
dawn 1
dead 1
debt 1
deliver 1
derives 1
desert 5
detective 1
dimension 1
directing 1
diverge 1
do 2
dodo 1
doesnt 3
doing 1
done 1
draw 1
dream 3
drive 1
drives 1
dwayne 1
eliot 1
end 2
ends 1
enters 1
evening 1
everyone 1
exit 1
expect 1
expeditiously 1
explains 1
exprofootball 1
facility 2
famous 2
fan 1
fed 1
film 1
find 1
finds 1
first 1
fluid 1
for 7
form 1
fortunio 17
found 1
fourth 1
friend 1
from 5
frost 1
game 2
gellar 1
get 8
girl 2
give 1
given 1
gives 1
go 2
goes 3
going 1
had 1
has 6
have 3
he 29
her 4
hermosa 2
hes 1
hesitant 1
him 17
himself 3
hired 1
his 8
holiday 1
hotel 1
houseboat 1
how 1
i 1
if 1
in 17
incidents 1
injection 1
injections 1
injects 1
inside 3
instead 1
intelligent 1
interested 1
interstate 1
into 1
is 25
it 7
jericho 1
jimmy 1
johnson 1
july 1
june 1
karma 1
keep 1
killing 1
know 2
krysta 13
lapd 1
las 1
later 1
lawyer 1
leaves 1
light 2
likes 1
looking 1
lose 1
loses 1
lost 1
lots 1
lying 1
made 1
make 1
mayor 1
maze 1
means 1
meet 1
michelle 1
middle 1
money 1
morning 1
movie 1
naive 1
nativeamerica 1
nearby 1
neck 1
needs 1
nephew 1
nevada 3
never 1
no 1
not 3
now 4
occurred 1
of 20
off 2
on 13
once 1
one 4
onlinepoker 1
only 2
oratorical 1
other 1
our 1
out 5
outside 1
over 1
owes 1
park 1
partying 1
passed 1
performing 1
phone 2
picked 1
places 1
player 1
plays 2
pleonastical 1
poem 1
poetry 1
power 3
powered 1
pragmatic 2
pretend 1
prevaricator 1
prevaricatorstay 1
private 1
propensity 1
prototype 1
pulls 1
puts 1
quote 1
ranger 1
read 1
reading 1
red 1
remember 2
remembers 1
renegade 1
researching 1
revolves 1
ride 1
ring 1
road 3
roads 1
robert 1
rollercoaster 3
ronald 1
room 2
rupture 1
s 1
same 1
sand 1
santaros 1
santarosa 1
sarah 1
sasso 1
saw 1
say 1
says 5
scanner 1
scott 1
script 5
seann 1
seems 3
seniority 1
settle 1
several 1
shadows 3
she 17
short 1
should 1
signs 1
sing 1
situated 1
situation 1
so 2
soldiers 2
solely 1
some 2
sometime 1
son 1
song 1
stage 1
standing 1
star 1
starring 1
stating 1
stay 1
still 1
stirs 1
storyline 1
stripping 1
sudden 1
suffer 1
suggests 1
sun 1
sung 1
survival 1
suv 3
syria 1
syringe 1
t 1
tab 2
take 1
taken 2
takes 3
taking 2
talking 2
taverner 1
tavernerformer 1
tell 1
tells 8
that 17
the 75
them 3
then 2
there 2
they 4
thing 1
this 2
through 1
thumb 1
time 2
tipped 1
title 1
to 35
together 2
too 1
top 1
towards 1
treer 1
tribe 1
two 5
unequivocal 1
until 1
up 4
usident 1
using 1
vegas 3
vehicle 2
veracities 1
very 1
visa 2
visas 2
vision 2
visiona 1
wakes 1
walking 1
was 5
waves 1
way 1
we 2
weekend 2
were 3
what 3
whatever 2
where 1
whereabouts 1
which 4
while 1
whimper 1
who 2
will 6
william 1
with 11
woman 1
work 1
working 1
world 2
written 1
wrote 1
you 1
your 2
