30167141
/m/0g547dh
/m/0g547dh
Henning Mankell

1874 1
a 11
about 1
abuse 1
abused 1
accept 1
across 1
adopt 1
adopted 1
adopting 1
adventure 1
africa 2
african 1
after 4
all 1
an 4
and 21
arduous 1
are 1
arguing 1
arrival 1
arrives 1
as 5
aspects 1
at 3
attempt 1
avoid 1
back 1
bartered 1
base 1
basic 1
be 1
becomes 1
been 2
befriends 1
begins 1
behaviour 1
being 2
beliefs 1
bengler 8
black 1
board 1
both 1
boy 3
brutally 1
but 1
by 6
cage 1
call 1
called 2
cape 1
challenge 1
civilising 1
closeknit 1
comes 1
community 1
consequences 1
control 1
culture 1
curiosity 1
customs 1
daniel 7
decides 7
deeply 1
desert 2
disappear 1
disastrous 1
disdain 1
displayed 1
displaying 1
disturbing 1
dreams 1
earn 1
elderly 1
ends 1
entomologist 1
escape 1
european 1
events 1
exchange 1
exhibit 1
exhibits 1
expatiate 1
expedition 1
experiences 1
explorations 1
extended 1
family 2
farmer 1
father 3
find 2
finds 1
flee 1
for 3
forced 1
friends 1
from 1
gain 1
girl 1
giving 1
glass 1
go 1
great 1
grows 1
had 3
hands 1
hans 1
has 2
he 11
her 2
hiding 1
him 3
himself 2
his 12
home 2
homesick 1
horseback 1
however 1
in 12
incident 1
include 1
increasingly 1
initially 1
insects 1
interest 1
into 1
is 7
it 1
jars 1
journey 2
kalahari 1
killed 1
knowing 1
learn 1
lectures 2
living 1
local 1
long 1
look 1
lund 1
make 3
making 1
members 1
men 1
molo 1
more 2
mother 1
name 2
new 2
not 2
noticing 1
notoriety 1
of 7
off 1
on 6
one 1
ostracised 1
other 1
out 1
over 2
own 1
people 1
post 3
promising 1
provisions 1
public 1
pursued 1
put 1
racial 1
recalling 1
religious 1
rescue 1
resulted 1
return 1
returning 1
rifles 1
run 1
rural 1
sanna 2
savage 1
science 1
sea 1
seeks 1
sees 1
sequence 1
serious 1
set 2
sets 1
ship 2
skne 1
small 1
smland 1
sole 1
some 4
son 2
southern 1
speak 1
spears 1
spiralling 1
still 1
stockholm 1
stored 1
story 1
studying 1
subsequently 1
surprise 1
survivor 1
swede 1
sweden 2
swedish 1
take 1
taken 1
taught 1
the 16
their 2
them 2
then 1
thereby 1
though 1
time 2
to 28
together 1
town 1
tracks 1
trading 3
treated 1
two 2
university 1
unsuccessfully 1
unusual 1
was 2
way 1
welcomed 1
were 2
where 1
which 1
whilst 1
white 1
who 5
whom 1
whose 1
wife 1
with 5
young 2
