4976673
/m/0cy1_1
/m/0cy1_1
Lawrence Watt-Evans

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 9
after 1
against 1
an 1
and 7
are 1
arithei 1
arlian 7
armed 1
assist 1
assistance 1
baby 1
battle 1
best 1
black 1
blood 1
book 1
business 1
but 1
comes 1
coming 1
continues 1
destroy 1
destroying 2
down 1
dragon 12
dragons 5
drunk 1
duke 2
end 1
entire 1
even 1
events 1
ever 2
extended 1
falls 1
far 1
finds 1
first 2
friend 1
from 3
fulfill 1
full 1
gain 1
gathered 1
growing 1
have 1
he 6
heart 2
hearts 2
him 1
himself 1
his 3
hope 1
how 1
human 1
hunt 1
if 2
in 6
instead 1
is 5
it 1
its 1
kill 2
killing 1
kills 1
knowledge 1
lady 1
life 1
long 1
made 1
magic 1
man 1
manfort 1
means 1
menace 1
mixture 1
mother 2
must 1
named 1
nasty 1
obsidian 1
of 8
over 1
prevent 1
quest 2
realizes 1
receives 1
removes 1
reproduce 1
reproducing 1
rhime 1
society 1
spear 1
success 1
task 1
terrible 1
that 2
the 19
their 1
this 1
those 1
to 6
up 2
using 1
venom 1
victim 1
wakes 1
warlord 1
weather 1
which 2
who 1
will 1
wishes 1
with 2
