367519
/m/02041g
/m/02041g
Michael Crichton
2002-11-25
a 34
aberrant 1
ability 1
accident 1
active 1
affair 2
affecting 1
after 3
again 4
aggressive 1
airlock 2
airtight 1
alarmingly 1
alerting 1
all 3
allowed 1
allowing 1
alongside 1
already 1
also 1
although 1
amanda 2
an 5
anaphylactic 1
and 48
animals 1
appear 1
are 4
army 1
around 2
arrives 1
as 10
assemblers 4
assembly 5
at 3
attack 1
attacked 1
attacking 1
attacks 1
attempt 2
autonomous 1
away 1
back 2
bacteria 2
barely 2
be 3
because 2
becomes 1
been 1
before 5
begin 1
behavior 3
believe 1
believing 1
blocking 1
blow 1
blown 1
bobby 3
body 2
broadcast 1
bronchial 1
brought 2
build 1
building 4
burst 1
but 4
by 10
called 3
calls 1
can 1
cannot 1
caps 1
car 4
cars 3
caused 1
causing 1
cave 4
certain 1
changes 1
charley 8
children 1
chip 1
choose 1
chopper 1
claims 2
cloud 1
code 2
cohesive 1
coli 1
combined 1
come 1
comes 2
coming 1
communication 1
communications 3
company 3
complex 1
complicated 1
consciousness 1
containing 1
contaminate 1
contractors 1
controlling 1
corrosion 1
cover 1
cut 1
david 2
day 2
dead 1
death 1
deceased 1
decides 1
decisions 1
demoing 1
desert 5
destroy 2
detached 1
device 1
devour 1
died 2
dies 1
disabled 1
disables 1
discharged 1
discover 1
discovering 1
dizzy 1
do 2
doomed 1
dormant 1
down 1
draft 1
drench 1
drenched 1
drink 1
due 1
during 2
e 1
earlier 1
either 1
elements 1
employee 1
end 1
energy 1
engaged 1
ensues 1
enter 2
enthusiastically 1
entice 1
equipment 1
eradicate 1
eric 1
escape 2
escapes 1
even 1
eventually 4
everyone 2
evolve 1
evolved 2
evolving 2
exactly 1
except 1
exhausted 1
exhibit 1
explodes 1
explosive 1
exterminate 1
extremely 1
fab 1
facility 5
fact 1
failed 1
falling 1
falls 4
field 1
fight 1
filling 1
filters 1
finally 1
find 6
fired 1
flying 1
follow 1
following 1
for 5
forced 2
forces 1
form 1
forman 1
forming 1
found 2
four 1
from 8
gamma 1
gas 1
get 3
given 1
go 1
goes 4
got 1
greeted 1
group 1
had 1
has 2
have 3
having 2
hazardous 1
he 9
heed 1
helicopter 2
help 1
her 7
high 1
him 2
himself 2
his 5
home 4
horror 1
hospital 1
hosts 2
hours 1
house 1
how 3
however 2
human 1
husband 1
if 1
imaging 1
in 27
infected 2
infectedricky 1
infectedteam 1
infection 1
infects 1
infestation 1
initially 1
injecting 1
injured 1
innovate 1
inside 5
inspect 1
install 1
instead 1
intelligence 1
intentionally 1
internal 1
into 9
invigorate 1
is 18
isotope 1
isotopes 2
issues 1
it 4
its 2
jack 30
job 1
julia 14
kill 1
killed 1
killing 1
kills 2
kisses 1
kissing 1
knowing 1
lab 5
late 1
later 1
leak 1
learn 1
leave 1
likely 1
line 3
links 2
locked 1
long 2
longer 1
looks 1
losing 1
machine 1
mae 13
magnetic 1
make 1
manage 1
manager 1
manages 3
media 1
meets 1
memory 1
methane 1
missing 1
most 3
motorbike 1
mouth 1
moving 1
mp3 1
mri 1
must 1
nanobot 2
nanobotproducing 1
nanobots 9
nanorobotics 1
nanoswarm 1
narrated 1
nauseous 1
nest 3
nested 1
nesting 1
network 2
new 2
next 1
night 4
no 1
not 4
nothing 1
novel 1
now 3
of 23
offered 1
on 3
one 2
only 1
operate 1
or 2
order 1
organic 1
original 1
other 2
others 1
out 4
outofcharacter 1
outside 6
over 1
overheating 1
parked 1
pay 1
perception 1
person 1
persuaded 1
phage 9
physical 1
picks 1
piece 1
place 1
placed 1
plan 1
plant 6
player 1
possess 1
potential 1
pour 1
powerful 1
predatory 2
prevent 1
proceed 1
proceeds 1
programmer 1
programming 1
project 1
properly 1
protagonist 1
protect 1
protected 1
put 1
puts 1
quickly 2
rabbit 2
radioactive 1
ranking 1
rapidly 3
rash 1
reactivate 1
real 1
realize 1
refuse 1
refuses 1
released 1
remain 1
reproduce 2
reproducing 1
research 1
rest 1
result 2
resulting 1
return 1
returning 1
reveals 1
revolutionary 1
ricky 8
rigorously 1
role 1
room 3
rosie 2
rudimentary 1
safety 5
sample 3
save 1
scan 1
scandal 1
searching 1
seem 3
seems 2
selfsufficient 1
semiconscious 1
sends 1
serves 1
set 2
several 1
shack 2
she 3
shelter 1
shock 1
shortly 1
show 2
shown 1
shows 2
similar 1
slowly 1
so 2
software 2
solar 1
solarpowered 1
some 1
source 1
special 1
speed 1
spotted 1
spray 1
sprays 1
sprinkler 3
starts 1
statistics 1
stay 1
stop 1
storage 1
strain 1
stream 1
strong 3
struggle 1
subdued 1
subject 1
such 1
suffocation 1
swarm 9
swarms 18
symbiotic 1
system 5
tagging 1
take 4
taken 1
takes 1
team 6
technology 1
tend 1
test 1
than 1
that 14
the 128
their 7
them 7
themselves 1
then 3
thermite 2
these 3
they 9
this 4
through 2
time 2
times 1
to 54
together 1
tour 1
traps 1
travel 1
tricks 1
triggering 1
tronics 1
trying 1
tubes 1
turn 1
unconscious 3
under 1
understand 1
unemployed 1
up 5
us 1
used 2
using 4
various 1
vent 1
venture 1
version 1
very 2
vials 1
vicious 2
video 4
vince 3
wander 1
wants 1
was 4
watchful 1
way 2
ways 1
well 1
were 3
what 1
when 3
where 1
which 2
while 5
who 6
why 2
wife 1
wild 1
will 1
wind 4
winds 1
with 14
without 1
work 1
worked 1
working 1
would 3
xymos 9
