4438055
/m/0c2d6w
/m/0c2d6w
Poul Anderson
1970
25 2
33 1
5 1
a 16
ability 1
accelerates 1
accelerating 1
acceleration 1
accelerator 1
aiming 1
albeit 1
altogether 1
and 17
anderson 2
aniara 1
another 1
any 2
approaching 2
are 2
arrive 1
as 2
at 2
attempt 1
away 1
bang 1
basis 1
be 2
because 2
before 3
between 1
big 2
billionth 1
billionyear 1
bluishgreen 1
board 1
book 1
brings 1
bussard 1
but 5
by 5
can 2
capable 1
case 1
change 1
christine 1
closely 1
closer 2
collapses 1
collides 1
colonization 1
color 1
completing 1
concomitant 1
conform 1
consists 1
contact 1
continue 1
cosmic 1
cosmos 1
course 1
crew 6
crewed 1
crunch 1
cycles 1
damaging 1
decelerate 2
decelerates 1
deceleration 2
decelerator 2
decreased 1
decreasing 1
density 1
departure 1
destination 1
details 1
dilation 3
disembark 1
dispersed 1
distant 1
do 1
does 1
doomed 1
during 2
earth 3
egg 1
encounter 2
ending 1
endlessly 1
engine 1
engines 2
enough 4
essentially 1
even 1
eventually 1
everincreasing 1
evolution 1
examining 1
experience 1
explains 1
explodes 1
extreme 1
extremely 1
fasterthanlight 1
find 2
first 2
flying 1
follows 1
for 4
free 1
from 2
further 2
future 1
galactic 1
galaxies 2
galaxy 1
gas 1
habitable 1
habitat 1
half 1
halfway 1
hard 1
has 3
have 1
hazard 1
home 1
hope 1
however 2
humanity 1
hydrogen 1
in 6
increase 1
initial 1
instead 1
insufficient 1
intergalactic 1
interspersed 1
into 1
is 10
it 1
journey 1
kept 1
land 1
later 1
leave 1
leonora 1
less 1
levels 1
light 2
local 1
locate 1
long 1
low 1
make 2
maneuvering 1
matter 2
mechanics 1
men 1
milky 1
millions 2
mission 1
modern 1
module 1
moments 1
monobloc 1
more 4
must 3
narrative 1
nebula 1
need 1
neither 1
new 1
no 1
nor 1
not 2
of 16
off 1
on 5
one 1
opera 1
order 1
original 1
outside 2
paragraphs 1
particleradiation 1
pass 1
passed 2
plan 1
planet 2
planets 1
poem 1
point 1
possibility 1
potential 1
powered 1
produced 1
proposed 1
prose 1
provide 1
radiation 2
ramjet 1
randomly 1
reach 2
ready 1
realize 1
region 2
relativity 2
repair 2
repaired 1
repairs 1
running 1
safety 1
scientific 1
search 1
second 1
several 1
shielding 1
ship 6
shorter 1
shortly 1
similar 2
since 2
so 1
space 1
speed 1
spend 1
spread 1
star 2
starship 2
still 1
stop 1
storyline 1
subject 1
suitable 1
suitably 1
superclusters 1
survives 1
system 1
systems 1
takes 1
tau 4
text 1
than 1
that 5
the 54
their 2
then 3
there 2
they 14
thinking 1
thinly 1
this 1
through 1
time 6
to 24
too 1
travel 3
try 1
turn 1
unable 1
uncondensed 1
universe 3
until 1
upbeat 1
use 1
vacuum 1
vegetation 1
velocity 1
vessel 1
vivid 1
voyage 1
voyagers 1
wait 1
waiting 1
was 2
way 1
where 1
which 6
will 2
with 5
without 1
women 1
would 2
wrote 1
years 4
zero 3
