2542994
/m/07m162
/m/07m162
Christopher Priest
1995
a 16
acclaimed 1
act 6
acts 1
afterwards 1
again 1
albert 1
alfred 3
alienated 1
all 1
also 1
alterego 1
an 3
and 20
angier 20
another 2
apparent 1
appearing 1
appears 1
are 4
area 1
as 6
attacks 1
attempts 1
back 2
backstage 1
be 1
become 1
becomes 1
before 1
begin 2
behind 1
being 2
bitter 1
blink 1
body 2
borden 13
both 2
breaks 2
brothers 1
but 2
by 5
cabinet 1
called 1
cannot 1
capable 1
chapter 1
chapters 1
clone 2
closed 1
colderdale 1
committed 1
conceal 1
constantly 1
continue 1
continued 1
corporeal 2
course 1
creates 1
day 2
days 1
death 1
defy 1
designed 1
desperately 1
develops 2
device 4
devise 1
diaries 3
diary 1
dies 2
different 1
discern 1
discover 1
discovering 1
dismisses 1
does 1
double 1
during 3
either 1
ensure 1
equal 2
estate 1
events 1
evidence 1
eye 1
fake 1
fakes 1
family 1
feels 1
feud 1
few 1
final 1
find 1
flash 2
fledgling 1
for 3
forcing 1
form 2
forth 1
frederick 1
from 3
ghostly 2
go 2
grandchildren 1
ground 1
has 3
he 4
health 1
help 1
him 2
himself 2
his 5
hoping 1
how 1
however 1
humour 1
idea 1
identical 1
ill 1
illusion 1
implied 1
improved 1
in 7
incomplete 1
incorporeal 1
instantly 1
interspersed 1
intervene 1
intervening 1
into 2
is 9
it 6
its 1
itself 1
kill 1
lack 1
later 1
learn 1
left 1
life 2
lifeless 1
live 1
living 2
lord 1
magic 1
magicians 4
maintaining 1
man 3
many 1
meet 1
men 1
method 2
miscarriage 1
morality 1
move 1
murder 1
name 1
named 2
new 5
nikola 1
not 1
novel 1
now 2
obtain 1
of 14
off 1
old 2
on 1
one 6
or 1
original 2
over 1
particular 1
pass 1
past 1
performance 2
performed 1
person 1
physical 1
physicist 1
physics 1
place 1
poor 1
position 1
power 1
present 2
preserve 1
prestige 1
prestiges 1
previous 1
primarily 1
professional 1
prove 1
publish 1
put 1
puts 1
read 1
real 1
recreating 1
refers 1
relatives 1
result 2
results 1
retaliation 1
return 1
returns 1
revealed 2
revealing 1
rise 1
rupert 1
scuffle 1
seance 1
secret 3
seems 2
sense 1
shame 1
shells 1
shortly 1
sideeffect 1
similar 1
some 1
space 1
stage 1
starkly 1
subject 2
substance 1
success 1
successfully 1
surprising 1
survive 1
suspects 1
teleport 1
teleportation 2
teleporting 1
terminally 1
tesla 2
that 5
the 50
their 3
these 1
they 2
this 1
though 2
through 3
throughout 1
thrown 1
to 29
transported 3
travels 1
trick 1
tries 1
turns 1
twin 1
twins 2
two 2
unable 1
up 1
used 1
uses 3
version 1
way 1
we 1
weak 1
well 1
when 2
where 1
wherever 1
which 3
while 1
wife 2
will 1
with 4
without 2
world 1
worldrenowned 1
years 1
