2682741
/m/07xpzz
/m/07xpzz
Sidney Sheldon
1982
124 1
150 1
182 2
1865184 1
1883 1
1886183 1
22 1
a 44
abandons 1
about 7
accidentprone 1
acted 1
actions 1
actor 2
advantage 1
affected 1
africa 1
after 3
against 3
ahead 1
aid 1
alexandra 14
all 4
allowance 1
along 1
also 3
american 1
among 1
an 6
and 66
anthony 1
apparent 1
appear 1
are 4
army 1
around 1
arrival 1
art 1
artist 3
as 10
asks 1
assaulting 1
at 5
attacks 1
attempts 2
attention 2
away 1
b 1
back 4
banda 5
bantu 3
be 9
beating 1
beautiful 1
because 1
become 1
becomes 3
becoming 2
been 2
before 2
begins 2
being 1
believes 3
believing 1
best 1
birth 3
birthday 2
black 1
blackwell 6
blood 1
boat 1
book 2
both 1
brent 6
broken 1
brutally 1
business 1
businessman 1
but 18
buying 1
by 14
caesarian 1
called 1
calling 1
cape 1
career 2
caught 1
cause 1
causing 2
celebrations 1
changed 1
changes 1
chastity 1
cheated 1
cheats 1
children 1
chose 1
clearly 2
closes 1
clumsy 1
coincidental 1
comes 1
comments 1
commits 1
committed 1
company 3
completely 1
condition 1
conglomerate 1
cons 1
consents 1
continues 1
control 1
could 1
course 1
covets 1
creates 1
critic 1
cued 1
cultured 1
cunning 1
dangers 1
daughter 2
david 5
dealif 1
death 1
defrauded 1
deliberately 1
delivered 2
demands 1
denial 1
deny 1
dependent 1
depressed 1
depression 1
der 3
desert 2
despises 1
destroyed 1
destroys 2
determination 1
determined 3
develops 1
diamond 4
diamonds 2
did 2
die 2
dies 2
disappointment 1
discreetly 1
disinherits 1
doctor 2
doctors 1
does 3
doing 1
dr 2
drinking 1
drives 1
drunk 1
during 1
dutch 1
each 1
eight 1
emergency 1
ending 1
engagement 1
enlists 1
enraged 1
entire 1
eve 20
even 1
eventually 1
everyone 1
exactly 1
executive 1
expects 1
explosion 1
extreme 1
face 1
fakes 1
fall 2
fallen 2
falls 3
family 3
father 3
favorite 1
favors 1
feeling 1
feels 1
felt 1
fiancee 1
field 1
fight 1
finally 1
finds 1
flagrantly 1
flashback 1
fondness 1
for 9
forced 1
fortune 3
four 1
french 1
friend 1
from 2
future 1
gave 1
george 1
get 4
gets 1
girl 1
girls 1
give 3
gives 2
giving 1
global 1
go 2
goes 2
good 2
government 1
graces 1
gradually 1
granddaughters 1
grandmother 2
great 1
greatgrandson 1
greek 1
grief 1
grow 1
grows 1
guarded 1
guards 2
gunshot 1
had 1
handsome 1
happy 2
has 5
have 3
having 2
he 23
head 2
heart 1
heavily 1
heir 2
helping 1
her 42
hers 1
herself 1
him 18
himself 1
hires 1
his 20
hoffmann 1
holds 1
home 2
homosexual 1
hospital 1
however 1
hundred 1
i 1
identical 2
identity 1
if 2
ignore 1
implicate 1
in 33
incident 1
including 1
informs 1
initially 1
instead 2
institution 2
interest 1
interested 1
interloper 1
interpret 1
into 10
introduce 1
investigation 1
is 33
it 7
james 1
jamie 17
job 1
joined 1
joke 1
jr 2
kate 25
keith 2
kill 2
killed 4
klipdrift 2
knowing 1
knows 1
kruger 6
krugerbrent 2
labor 1
last 1
later 5
laugh 1
laughs 1
learns 1
leaves 1
led 1
left 2
life 3
like 1
likes 1
line 1
lines 1
load 1
looking 2
looks 1
love 7
loves 3
macgregor 1
mad 1
madly 1
make 2
makes 1
making 3
man 2
manipulated 1
manipulates 1
manipulative 1
manipulator 1
margaret 9
marianne 6
marriage 1
married 2
marries 1
marry 5
marrying 2
masked 1
master 1
means 1
meant 1
meanwhile 2
meets 1
mehta 1
mellis 8
melts 1
merwe 3
mine 1
mines 3
mistakenly 1
mistakes 1
months 1
more 1
mother 1
mousy 1
move 1
moves 1
murder 1
murdered 1
musician 1
my 1
named 3
names 1
namib 1
naturally 1
negative 1
negatively 1
never 2
night 2
ninetieth 2
no 1
not 3
notable 1
now 3
ny 1
occasion 1
of 21
off 1
offers 1
older 1
on 6
one 5
only 1
or 1
other 1
out 4
over 5
overboard 1
overhears 1
own 1
owned 1
owns 1
painters 1
party 1
passion 1
patent 1
paying 1
pays 1
perfect 1
performed 1
peter 4
pianist 1
plan 1
planning 1
plans 1
plastic 2
plots 1
plunges 1
point 2
potential 1
pours 2
pregnancy 2
pregnant 4
premature 1
present 1
pressure 1
pretending 1
prostitute 2
proves 1
psychiatrist 2
puts 1
question 1
raise 1
ranks 1
raped 1
readers 1
realizes 1
really 2
recovers 1
refuses 1
relatives 1
released 1
remark 1
reminds 1
repair 1
repeat 1
repeatedly 1
rescued 1
returns 2
reunites 1
reveals 2
revelation 1
revenge 3
rich 1
rights 1
risk 1
rob 1
robert 3
rugged 1
ruthless 1
sad 1
sadist 1
safe 1
sake 1
salomon 5
same 1
scandal 1
scar 3
schemeto 1
scientific 1
scotsman 1
second 1
