23929545
/m/076yhgg
/m/076yhgg
Edith Pargeter
1982
113 1
a 38
abandoning 1
abbey 1
able 1
about 2
accomplished 1
across 1
act 1
after 4
again 2
against 3
alain 1
alert 1
all 1
alone 3
already 1
also 4
although 1
among 1
and 71
another 3
anyone 2
apothecary 1
apparent 1
appears 1
are 7
armed 1
armies 1
arms 1
arrived 1
arrives 3
as 14
asking 1
asks 2
at 9
attack 2
attacked 5
attacker 1
away 3
babbles 1
back 4
bandits 1
battle 1
be 3
bear 1
beaten 1
beats 1
became 1
becomes 1
been 4
before 4
begins 1
belonged 1
benedictine 2
beringar 11
blizzard 2
blizzards 1
blood 3
blows 1
body 5
boterel 11
break 1
breaks 1
bretagne 2
brigand 1
brigands 8
bring 1
bromfield 9
brother 5
brothers 1
brought 1
built 1
burned 1
but 13
by 16
cadfael 28
callowleas 3
came 2
can 1
cannot 2
care 2
carry 1
casting 1
chapel 3
childhood 1
children 5
city 1
clearly 1
clee 1
cleeton 2
cloak 4
collapsed 1
collides 1
combat 1
come 1
committing 1
common 1
company 1
compline 2
conceal 1
concealed 2
conceals 1
conduct 1
confess 1
confessing 1
confession 1
confirmed 1
confronts 2
corpse 3
countryside 2
crusade 1
dangers 1
dark 1
dawn 2
daze 1
de 2
dead 5
death 1
defend 1
deputy 1
described 1
desire 1
despoiling 1
destroyed 1
detected 1
disappearing 1
discovers 1
discovery 2
dismounts 1
disoriented 1
distressed 1
distressing 1
draw 1
dressed 2
drip 1
drops 1
druel 5
during 1
early 1
eloped 1
elyas 19
empress 2
enter 2
enters 1
ermina 17
escape 2
escaped 1
escorted 1
establishes 1
even 1
evening 1
evidence 1
evrard 2
exterminated 1
eye 1
fair 1
falls 1
far 2
fate 1
fearing 1
fell 1
few 1
find 3
finds 6
fire 2
first 3
fit 1
fled 2
flight 1
follow 1
follows 1
for 17
force 1
forced 1
forces 1
forester 2
fort 4
found 2
frantic 1
friend 1
frightens 1
from 10
frozen 2
full 1
fully 1
gaucher 6
gilbert 1
go 2
goes 2
gone 1
grief 1
guarding 1
guides 1
guilt 3
habit 3
had 5
hair 1
halter 1
handsome 1
has 6
have 5
he 18
headstrong 1
heap 1
hears 2
helmet 1
help 2
helped 1
her 15
herself 1
hid 1
hidden 1
hilaria 20
hill 1
him 13
himself 2
his 17
holding 1
holds 1
holy 1
horror 1
horse 3
hostage 1
hours 1
hugh 2
hugonin 2
hut 4
ice 2
in 23
indirectly 1
indiscriminate 1
inhabitants 1
injured 2
inside 2
instead 1
into 9
invites 1
is 23
it 7
its 1
john 1
killed 1
kills 1
king 2
knife 3
know 1
knowledge 1
knows 1
laden 1
land 1
lands 2
later 1
laurence 1
le 6
lead 1
leader 1
learns 1
least 1
leave 2
leaves 1
led 1
ledwyche 3
left 9
leonard 1
let 1
lets 1
letting 1
lived 1
local 1
longer 2
looted 1
lose 1
lost 1
lover 2
loves 1
ludlow 2
makes 1
man 2
manor 2
many 1
mariam 1
marked 1
masquerading 1
master 1
matching 1
matins 1
men 4
menaced 1
mercenary 1
met 1
might 1
mile 2
mind 2
missing 1
monk 2
more 1
morning 2
most 1
mother 1
murder 2
murdered 2
murderer 2
murdering 1
must 1
named 1
near 1
nearby 3
newfallen 1
next 2
night 6
nights 1
no 2
noble 2
noises 1
not 1
november 1
now 3
nun 2
nurse 1
observations 1
obviously 1
of 37
officer 1
old 1
olivier 10
on 9
one 1
only 1
or 2
order 1
other 2
others 1
out 5
overcomes 1
own 1
pack 1
party 1
peace 1
penalty 1
people 1
permission 1
physician 1
pillaged 1
place 2
plunder 1
pray 1
prestcote 2
presumably 2
previously 1
