470913
/m/02dgg8
/m/02dgg8
John Brunner

2066 1
21stcentury 1
a 3
actually 1
adjusting 1
amusingly 1
ancestors 2
and 3
are 1
as 1
brought 1
brunner 1
by 1
computer 1
copy 1
cover 1
day 1
described 1
difficulties 1
duplicates 1
expresses 1
for 1
forward 1
freitas 2
harold 1
have 1
he 1
help 1
him 1
his 2
iii 1
in 2
invented 1
is 1
lighter 1
look 1
looking 1
machine 1
merely 1
mode 1
monsters 2
mores 1
newly 1
novel 1
novels 1
of 3
on 1
original 1
other 1
own 1
past 1
period 1
protagonist 1
publicity 1
rule 1
said 1
save 1
sentient 1
sheep 1
some 1
sparci 1
stand 1
such 1
summoned 1
than 1
the 10
time 1
to 3
triumph 1
up 1
world 1
zanzibar 1
