2222413
/m/06x39l
/m/06x39l
Harry Turtledove
2002-06-25
130s 1
a 2
about 1
activities 1
adolf 1
after 1
americans 1
an 1
and 5
another 1
antagonist 1
calamity 1
care 1
confederacy 1
confederates 1
csa 2
depression 1
desperate 1
domination 1
during 1
faces 1
facing 1
fascist 1
featherston 1
fourth 1
germany 2
great 3
his 1
hitler 1
in 3
is 2
it 2
jake 1
late 1
leading 1
like 1
little 1
mexican 1
much 1
named 1
national 1
now 1
of 4
one 1
period 1
poverty 1
power 2
reallife 1
rides 1
rise 1
road 1
secession 1
second 1
seem 1
seems 1
shares 1
the 13
this 1
to 3
too 1
toward 1
until 1
us 1
usa 1
victors 1
war 5
wave 1
while 1
with 1
world 1
