4542594
/m/0c7_bh
/m/0c7_bh
Dominique Lapierre
1985
a 7
acceptance 1
achieved 1
actions 1
after 2
all 1
also 2
american 2
an 1
anand 1
and 18
appalling 1
are 4
around 1
arrives 1
as 2
assumed 1
at 1
attitude 1
author 2
authorities 1
beautiful 1
becomes 1
before 1
being 1
belief 1
big 1
bone 1
book 6
both 1
breaking 1
brother 1
but 2
by 5
calcutta 4
caste 2
catering 1
character 1
characters 1
children 1
chooses 1
chronicles 1
city 3
conditions 1
considered 1
continuation 1
conversations 1
created 1
death 1
deplorable 1
despite 1
die 1
differences 1
different 1
divisions 1
do 1
doctor 2
downs 1
drought 1
dwellers 2
earth 1
encounters 1
end 1
endured 1
english 1
everyday 1
evident 1
experiences 1
exploited 1
explores 1
facing 1
family 2
farmer 1
farming 1
father 1
feeling 1
fictional 1
finished 1
for 2
foundation 1
friends 1
from 2
generations 1
god 1
goes 1
half 1
hardships 1
has 4
hasari 2
he 3
hellish 1
her 1
his 5
hold 1
horrific 1
how 1
however 1
hunger 1
if 1
ignorance 1
ignored 1
illness 1
in 11
india 2
into 1
is 4
it 2
its 1
joins 1
journey 1
joy 3
just 1
kolkata 1
kovalski 2
lepers 1
levels 1
life 1
live 1
lived 1
living 3
looks 1
lowe 1
main 1
many 4
max 1
means 1
med 1
mercy 1
midst 1
miracles 1
moments 1
most 1
mother 1
much 1
nagar 1
named 1
names 1
no 1
not 3
of 22
on 3
only 2
opening 1
or 2
order 1
out 1
overall 1
own 1
pal 2
peace 1
peasant 1
people 1
places 1
polish 1
poor 2
poorest 1
poverty 2
power 1
practice 1
precious 1
prejudices 1
priest 1
puller 1
purpose 1
put 1
real 1
religions 1
religious 1
revolves 1
rich 1
rickshaw 1
royalties 1
sale 1
school 1
separation 2
serve 1
side 2
since 1
sisters 1
slum 4
slums 1
so 2
society 1
something 1
sometimes 1
starve 1
stated 1
staying 1
stephan 2
still 1
stories 1
story 3
sufferer 1
system 1
teresa 1
that 5
the 46
their 3
them 4
they 1
third 1
this 1
times 1
to 6
touches 1
towards 2
translated 1
traveled 1
trials 1
tribulations 1
true 1
up 1
ups 1
uses 1
village 1
vows 1
wants 1
wealthy 2
well 2
where 1
which 1
while 1
who 1
whose 1
wife 1
wills 1
wipes 1
with 6
without 1
work 2
worth 1
young 2
