11857241
/m/02rvv58
/m/02rvv58
Brandon Mull
2007-05-31
{"/m/01hmnh": "Fantasy"}
13 1
a 18
about 1
abroad 1
acting 1
addition 1
after 3
age 1
agency 1
alarming 1
all 3
an 6
ancient 1
and 27
another 1
approved 1
are 2
around 1
artifact 2
artificial 1
as 3
asks 1
assignment 1
at 4
attempts 1
away 1
back 1
because 2
become 1
been 1
before 1
beginning 1
being 2
big 1
bites 1
book 1
both 1
brother 2
but 3
by 2
calls 2
can 5
cant 1
car 1
caretaker 1
caught 1
centuries 1
clumsy 1
collector 1
come 1
coming 1
completely 1
consume 2
continue 1
control 1
could 1
coulter 3
creature 1
creatures 2
cry 1
dale 2
dangerous 1
day 1
death 1
demon 1
demons 1
depressed 1
destroy 1
determined 2
determines 1
discuss 1
doesnt 1
doing 1
door 1
downfall 1
dream 1
dreamed 1
eighth 1
else 1
end 3
enough 2
enter 1
errol 3
evening 2
ever 1
every 1
everyone 1
everything 1
evidence 2
exists 1
explains 1
extremely 1
fablehaven 4
fact 1
failed 1
fairies 1
fairykind 2
falling 1
falls 1
family 1
faster 1
fate 1
fed 1
finally 2
find 1
finds 1
for 4
friend 1
friends 1
from 3
gates 1
gave 1
get 5
gets 1
girl 1
giving 1
glutton 2
go 1
goal 1
gone 1
good 1
grade 1
grandfathers 1
grandpa 4
grandparent 1
great 2
guarding 1
had 2
hadnt 1
hands 1
happened 1
has 2
have 2
he 7
help 4
her 9
hidden 1
him 5
hindrance 1
his 4
hours 1
house 3
houses 1
huge 1
hundreds 1
if 1
in 7
infiltrate 1
infiltrated 1
inside 1
intent 1
intents 1
into 1
invites 1
is 16
it 8
item 2
its 1
just 1
kendra 10
key 2
kind 1
kissed 1
know 1
knows 1
kobold 1
lady 1
later 1
laterthe 1
left 1
less 1
like 1
long 1
lost 1
magical 5
make 1
man 1
many 1
marks 1
master 1
matched 1
mean 1
meets 1
milk 1
mind 1
mischief 1
more 1
morning 1
mortuary 1
must 2
mysterious 1
mystical 1
mythical 1
named 2
net 1
never 1
night 1
not 5
object 2
of 20
old 1
older 1
olloch 4
on 2
one 1
only 2
open 1
order 1
organization 1
other 1
out 1
outside 1
over 1
overthrow 1
own 2
perilous 3
persuaded 1
pervades 1
picks 1
piece 1
plan 1
points 1
portion 1
possible 1
possibly 1
potion 1
power 2
preserve 5
preserves 3
preventing 1
prison 1
problem 1
problems 1
property 2
protect 1
protected 1
prove 1
purposes 1
pursues 1
rate 1
reach 1
red 1
relics 1
resolves 1
respond 1
rested 1
retrieve 1
rid 1
ride 1
rising 1
risks 1
safely 1
save 2
saying 1
says 1
school 2
see 4
seems 2
seized 1
seth 12
she 3
short 1
should 1
shoulders 1
shows 1
situation 2
skin 1
sleep 1
so 3
society 2
someone 1
sorenson 2
speaks 1
specialists 2
sphinx 3
sports 1
star 2
strong 1
suddenly 1
supposed 1
sure 1
take 1
tanu 1
teeth 1
tells 1
than 1
that 14
the 50
their 6
them 7
then 2
there 1
these 1
they 4
thief 1
thing 1
things 1
this 1
thoroughly 1
thousands 1
three 3
till 1
to 24
towards 1
traitor 2
trap 1
trapper 1
two 1
ugly 1
ultimately 1
uncharged 1
until 3
unusual 1
up 4
use 1
vanessa 2
very 1
visitors 1
wait 1
warren 1
was 3
when 2
where 1
which 1
will 2
with 3
without 2
woke 2
word 1
working 1
world 4
worst 2
would 2
written 1
wrong 1
year 2
yet 1
zzyzx 3
