19050309
/m/04jh1tq
/m/04jh1tq
André Franquin
1985
a 3
allows 1
and 1
antiblack 1
around 2
artificial 1
automatic 1
ball 1
biggest 1
black 1
button 1
casters 1
chair 2
chest 2
consists 1
devices 1
difficult 1
directly 1
drawers 1
ever 1
fantasio 1
filing 2
finds 1
foreign 1
from 1
gastomobile 1
gaston 3
get 1
head 1
ice 2
in 1
intriguished 1
invented 1
inventions 1
it 2
making 1
many 1
need 1
no 1
of 1
offices 1
on 2
one 1
open 2
paperclip 2
patches 1
prevent 1
put 1
rapidly 1
rocket 1
satellite 1
secret 1
services 1
sliding 1
small 2
spirou 1
the 2
to 4
turning 1
up 1
vehicle 1
which 1
with 1
