17160931
/m/043l06w
/m/043l06w
Lisa See
2004
3 1
4000 1
5000 1
a 9
about 1
absorbing 1
accept 1
allpatriotic 2
alluding 1
also 1
ambivalent 1
an 5
and 9
anguish 1
another 1
antiquities 2
apart 1
archaeological 1
archaeologists 1
archaeology 1
are 5
area 1
artifacts 1
as 6
at 4
be 3
before 1
being 2
bitterness 1
bodies 1
bones 1
book 1
brought 1
bugged 1
by 3
can 1
case 1
challenging 1
chaowen 1
china 3
chinese 4
completed 1
concerned 1
concludes 1
conclusion 1
construction 1
continuous 1
controlling 1
controls 2
couple 1
crimes 1
culture 1
current 1
dam 4
daughter 2
david 3
dead 1
death 3
depiction 1
different 1
difficult 1
dig 2
dismal 1
dragon 1
driven 1
eat 1
effective 1
emotionally 1
emperor 1
emphasizes 1
especially 1
even 1
evidence 1
find 2
finding 2
finds 1
flooding 1
for 1
forced 1
frantically 1
frequently 1
from 3
get 1
girl 1
gorges 1
government 2
guilt 1
hand 1
have 3
he 1
held 1
her 2
high 1
hostage 1
how 2
hulan 6
hut 1
idea 1
in 7
inner 1
inside 1
intentions 1
interested 1
investigate 1
involved 1
involves 1
is 11
it 3
journey 1
kill 1
kind 1
knows 1
land 1
lev 1
lines 1
loss 1
lovers 1
made 1
maintained 1
many 2
massive 1
matter 1
melodramatic 1
men 1
modern 1
mother 1
mourns 1
mutual 1
near 1
no 1
novel 2
npr 1
of 17
office 1
official 1
old 1
on 2
one 1
opinion 1
opposes 1
order 1
other 2
others 1
out 3
outside 1
overly 1
painful 1
past 2
peasant 1
people 4
person 1
perspectives 1
plot 1
portrait 1
potent 1
precious 1
presents 1
project 1
public 1
rally 1
raphael 2
rather 2
real 1
regard 1
remind 1
report 2
returning 1
review 1
reviewers 1
romantic 1
sage 1
same 3
save 1
saying 1
see 2
sent 2
serves 1
several 1
shares 1
she 2
shoot 1
site 5
smuggled 1
smuggling 1
socially 1
society 3
solving 1
somewhat 1
stabbed 1
start 1
starving 1
story 1
strength 1
strongly 1
suspicious 1
symbolism 1
task 2
tended 1
that 2
the 43
their 4
there 2
these 1
they 3
this 2
threat 1
to 19
together 2
true 1
try 1
turmoil 1
turning 1
typical 1
unable 1
up 1
views 1
water 1
waters 1
weaves 1
well 1
what 1
when 1
whether 1
who 4
will 1
with 2
woman 1
women 1
words 1
work 2
working 1
world 1
worse 1
year 1
years 1
young 2
