5556885
/m/0dsdrc
/m/0dsdrc
Carlos Castaneda
1994
1st 1
2nd 1
3rd 1
4th 1
7 1
a 12
able 6
according 1
achieved 1
achieving 1
acting 1
activity 1
all 1
also 1
alternate 1
an 1
and 6
another 1
application 1
are 3
area 2
arrived 4
art 3
as 1
asleep 3
at 7
awareness 4
barriers 1
base 1
be 1
become 1
being 1
beings 1
believed 1
big 1
bodies 1
body 6
but 2
by 3
calf 1
called 1
can 2
castaneda 2
cause 1
certain 1
changes 1
changing 1
column 1
consciousness 2
control 2
crossed 4
darkness 1
describes 2
discussed 1
don 1
dream 5
dreaming 19
dreams 2
dying 1
else 1
emissary 1
energetic 1
energy 1
essence 1
every 1
extensively 1
fall 1
falling 1
falls 1
feeling 1
few 1
focus 1
follow 1
follows 2
foot 1
formed 1
four 1
from 1
gate 4
gates 3
gone 1
hands 3
has 1
how 1
in 16
including 1
increased 1
induce 1
inorganic 1
inside 1
into 1
is 10
isolate 1
it 3
item 1
juan 1
lineage 1
located 1
location 3
looking 1
losing 1
lowest 1
lucid 1
lucidity 1
master 1
matus 1
means 1
much 1
needed 1
not 2
object 1
objects 1
obstacles 1
of 29
one 17
oneself 1
only 1
or 1
other 1
overcome 1
paradise 1
part 1
perceive 1
perceives 1
philosophy 1
physical 2
pointform 1
position 1
practical 1
practitioners 1
psychosomatic 1
pulling 1
rather 1
reality 1
realm 1
referred 1
repeated 1
return 2
same 1
scout 1
second 1
seeing 1
seven 2
shift 1
sides 1
sleep 1
so 1
solved 4
something 1
sorcery 1
spinal 1
stabilization 1
start 1
state 2
steps 1
summary 1
surrounding 1
technique 1
termed 1
that 2
the 34
there 2
they 1
this 1
times 1
to 17
toes 1
together 1
toltec 1
toltecs 1
total 2
traveling 1
up 1
utilizing 1
v 1
wakes 1
way 3
weight 1
what 2
when 13
which 3
while 2
with 1
without 1
yield 1
