20175785
/m/04y8b74
/m/04y8b74
Joseph Boyden
2008-09-09

a 4
an 1
and 5
annie 3
attempt 1
being 1
between 1
bird 2
black 1
bush 1
by 1
chapters 1
city 1
coma 3
comatose 1
course 1
day 1
events 1
former 1
from 1
help 1
her 2
him 2
his 3
in 5
is 3
led 1
life 1
meanwhile 1
montreal 1
moosonee 1
narrated 1
narration 1
new 1
niece 1
nieces 1
novel 1
of 3
ontario 1
over 1
pilot 1
present 1
previous 2
recounts 2
revive 1
set 1
sojourns 1
spruce 1
suzanne 1
switching 1
the 7
through 1
to 6
toronto 1
which 1
will 4
with 1
year 2
york 1
