365182
/m/01_x5p
/m/01_x5p
Charles Stross
2003-07-01
a 8
aboard 1
act 1
action 2
acts 1
actually 1
advanced 1
affairs 1
affect 1
against 1
agent 1
agents 3
also 2
although 2
am 3
an 1
and 15
any 1
apparent 3
apparently 1
appears 1
are 2
as 6
at 3
attempt 2
attempts 1
avoid 3
backward 1
backwards 1
be 1
become 1
been 1
before 3
below 1
benign 1
between 1
beyond 1
book 2
break 1
breaking 1
breaks 1
breathing 1
but 2
by 5
calls 1
can 3
case 1
cases 1
causality 3
cause 1
certain 1
change 2
civilization 8
civilizationentity 1
civilizations 2
collapsed 1
colony 2
comes 1
commandment 1
communications 1
computer 1
cone 1
conflict 1
contacts 1
culture 1
descended 2
devastating 1
did 1
dispatches 2
dispersed 1
disseminating 1
distribution 1
does 1
doing 1
down 1
earth 4
else 2
encounter 1
encounters 1
end 2
enemy 1
energies 1
enforcement 1
enforces 1
engineer 1
engineering 1
engines 3
engraved 1
enough 1
entertain 1
entity 1
eschaton 12
events 1
everywhere 1
example 1
exasperated 1
exist 1
existence 1
expected 1
exploits 1
extension 1
failure 1
faster 1
fasterthanlight 2
features 1
festival 2
few 1
flagship 1
fleet 2
follows 1
for 4
force 1
forcibly 1
former 1
from 4
further 1
future 1
galaxyspanning 1
generally 1
god 1
going 1
has 3
have 1
helpfully 1
heroes 1
highly 1
hired 1
historic 1
history 1
huge 1
human 10
humans 1
hundreds 1
i 3
if 1
immediately 1
immense 1
immensely 1
important 1
in 11
inability 1
induced 1
inexorable 1
influential 1
information 2
inscrutable 1
instantaneous 1
internet 1
interpreting 1
into 1
involvement 1
is 11
it 6
its 6
itself 2
knowledge 1
known 1
large 1
laws 1
least 1
left 1
letters 1
light 3
major 1
makes 1
mansour 2
martin 2
may 2
means 1
mechanism 1
mentioned 1
message 2
mighty 1
modernday 1
more 2
most 1
mountains 1
moved 1
my 1
mysterious 1
nations 1
nearby 1
neoluddite 1
neoludditemonarchist 1
networks 1
new 6
no 1
nongovernment 1
not 4
novel 1
of 24
often 1
old 1
ominous 1
on 6
one 6
onslaught 1
or 2
order 1
other 2
our 1
out 1
overkill 1
own 3
particular 1
pass 1
past 1
phlogiston 1
pieces 1
point 2
posthuman 1
postsingularity 1
powerful 2
prevent 1
prevented 1
progress 1
progressing 1
prohibits 1
proscription 1
prospective 1
provide 1
providing 1
quickly 1
quo 1
race 1
rachel 2
reaching 1
realize 1
recipients 1
recovered 1
recurring 1
relative 1
relatively 1
relevant 1
republic 6
request 1
respond 1
rest 1
result 1
rochard 3
rule 1
rules 2
said 1
scattered 1
selfinterest 1
shalt 2
sides 1
singularity 2
sky 1
so 4
societies 1
some 2
sooner 1
space 2
spacefaring 1
specializing 1
springfield 2
spy 1
star 1
starship 1
status 1
strictly 2
such 3
supernova 1
suspects 1
taking 1
task 1
technology 1
than 3
that 7
the 57
their 4
them 2
theme 1
they 1
this 9
thou 2
thousand 1
throughout 3
time 3
to 16
totalitarian 1
trades 1
transhuman 2
travel 3
un 1
uncommunicative 1
under 1
understand 1
uninvolved 1
united 1
unknown 1
upgrade 1
upgraded 1
us 1
use 3
uses 1
using 1
usually 1
utterly 1
very 1
violate 3
vital 1
wake 1
war 1
warnings 1
warships 1
whatever 1
when 1
whenever 1
where 1
which 3
who 1
wider 1
will 1
with 4
within 2
working 1
world 4
worldweary 1
years 2
you 1
your 2
