9965002
/m/02py8zh
/m/02py8zh
Helen Cross
2001
184 1
23 1
a 7
actually 1
affairs 1
after 2
alcohol 1
an 1
and 8
annemarie 2
any 1
apart 1
appearance 1
appears 1
are 1
as 2
asks 1
at 1
attention 1
awkward 1
be 3
been 2
befriend 1
begging 1
beginning 1
bereavement 1
blazing 1
boarding 1
bored 1
bridesmaid 1
by 2
cancer 1
cope 1
date 1
daughter 1
day 2
days 1
decides 1
despite 1
devices 1
dont 1
drained 1
drawn 1
drifted 1
drinks 1
emotionally 1
evening 1
exam 1
fakenham 3
fakenhams 1
family 1
fascinated 1
father 1
feeling 1
feels 1
festivities 1
finds 2
for 1
friend 1
friendless 1
from 1
fruit 1
getting 1
girls 1
given 1
goes 1
had 2
has 1
have 1
having 1
help 1
her 10
herself 2
his 1
home 1
house 2
however 3
in 6
instantly 1
is 7
it 2
large 1
leave 1
left 1
lindy 1
live 1
lonely 2
lost 2
machines 1
manner 1
married 1
may 1
mona 6
money 1
mother 1
mr 2
mrs 1
much 1
nearby 1
novel 1
occasionally 1
of 4
off 1
on 1
once 1
or 1
own 1
pay 1
people 1
pitiful 1
plays 1
pony 1
poor 1
previously 1
probably 1
pub 1
quite 1
rather 1
refers 1
reflects 1
residents 1
row 1
school 2
schoolfriend 1
second 1
seems 1
selfconscious 1
sent 1
she 11
sister 1
someone 1
speaks 1
state 1
support 1
tamsin 3
tends 1
that 2
the 15
their 1
then 1
they 1
thinks 1
this 2
though 1
through 1
time 1
to 14
very 1
village 1
visit 1
was 1
wedding 1
which 1
who 1
willow 1
with 1
year 1
youngest 1
