21910218
/m/05n03pb
/m/05n03pb
Jonathan Harr
1996-08-27
{"/m/014dfn": "Speculative fiction", "/m/05h83": "Non-fiction", "/m/06ms6": "Sociology", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 2
188 1
2 1
375000 1
64 1
8 1
a 12
about 1
accept 1
acquiesces 1
after 2
against 5
agency 2
all 1
and 12
anderson 1
anne 1
another 1
anticipates 1
approx 1
are 1
as 1
assets 1
assist 1
attempts 1
attorney 1
attorneys 1
bankruptcy 1
based 1
beatrice 7
between 1
both 2
brought 1
but 2
by 3
car 1
case 7
chemical 2
chemist 1
child 1
citing 1
city 1
civil 1
clean 1
clear 1
companies 2
company 2
concludes 1
condo 1
consider 1
contaminated 2
contamination 2
contribution 1
cost 1
course 1
decides 1
defendant 1
diagnosed 1
dire 1
disburses 1
discovery 1
disease 1
dismissed 1
dismisses 1
due 2
dumping 1
employee 1
environmental 3
eventually 3
evidence 3
excluding 1
expenses 2
families 3
family 1
far 1
fee 1
fees 1
filed 1
files 1
finances 1
finding 1
finds 1
firm 1
foods 2
for 6
forced 1
forces 1
former 1
forward 1
from 5
gathers 1
gets 1
grace 6
had 4
has 1
he 4
her 2
high 1
higher 1
him 1
his 4
history 1
however 1
immediately 1
in 8
incidence 1
injury 1
invested 1
is 4
it 1
its 2
jan 1
judge 2
lack 1
largest 1
later 3
lavishly 1
law 1
lawsuit 1
lawsuits 3
lawyer 1
length 1
less 1
leukemia 2
limit 1
little 1
lives 1
losing 1
make 1
million 3
money 1
more 1
much 1
named 1
new 1
northeastern 1
not 1
notices 1
of 12
office 1
on 1
options 1
originally 1
other 2
over 1
overbilled 1
own 1
pay 1
per 1
personal 2
picking 1
plaintiffs 1
plausible 1
practices 1
prior 1
process 1
protection 2
rare 1
reasons 1
relatively 1
removed 1
report 1
reraise 1
resulted 1
riley 1
river 1
schlichtmann 11
seeks 1
settlement 3
settles 1
she 1
site 1
skinner 1
sludge 1
soil 1
some 1
spends 1
state 1
states 1
stretch 1
stronger 1
subsidiary 1
suggesting 1
supply 1
surrenders 1
take 1
tannery 2
tce 1
testimony 2
that 2
the 29
their 4
think 1
though 2
time 1
to 11
town 1
trial 1
trichloroethylene 1
two 1
unifirst 2
united 1
up 2
water 1
wells 2
when 1
which 3
who 1
with 1
witnessed 1
wr 3
