16898816
/m/0411l4c
/m/0411l4c
Kate Thompson
1998
a 24
about 2
accidentally 1
according 1
across 1
advice 1
after 1
again 1
agrees 1
algernon 3
alive 1
all 3
allegiances 1
alternates 1
an 2
and 35
animalmind 1
apologises 1
arguments 1
arouse 1
arrival 1
article 1
as 8
ask 2
asking 1
aspects 1
at 2
awesome 1
back 2
balance 1
balanced 1
be 3
beauty 1
because 2
become 2
becomes 2
becoming 2
been 4
before 1
begins 1
behaves 1
behaviour 2
being 2
bemoans 1
between 3
bird 5
birthday 1
bitten 1
blood 3
both 1
boy 2
breaking 1
breaks 2
broken 1
building 1
bushes 1
but 11
by 5
cage 1
caged 1
call 1
can 1
captured 1
car 1
care 1
cat 1
chance 2
change 1
checks 1
choice 1
choose 2
chooses 2
chosen 1
circumstances 1
city 3
claiming 1
claims 3
closed 1
coerce 1
come 2
comfort 1
concept 1
condition 1
confidence 1
confinement 1
confront 1
confronted 1
control 1
convinced 1
couple 1
crypt 2
damage 1
dark 1
darkness 1
day 2
days 2
death 2
decide 1
defences 1
demonstrate 1
demonstrates 1
desperately 1
destroy 1
detects 1
dies 1
disappeared 1
discovers 2
discuss 1
discussion 1
dispels 1
display 1
do 1
does 1
doesnt 1
doing 2
doorway 1
down 1
draw 1
drink 1
dublin 1
each 2
earlier 1
effect 1
either 2
empty 1
enjoy 1
entering 1
enters 1
escapes 2
even 1
events 1
everyone 1
excavate 1
exhausted 1
existence 1
explains 1
exposed 1
fact 1
family 1
father 2
feeding 1
feeds 2
feeling 1
few 2
fifteenth 1
filled 1
finds 1
flies 1
following 2
follows 2
for 6
force 2
forgotten 1
form 5
forms 1
friend 1
frisbee 3
from 1
game 1
gets 1
given 1
glorious 1
good 1
greatly 1
grief 1
gruesome 1
had 1
haired 1
happened 1
has 10
have 1
having 1
he 18
help 4
her 31
him 10
his 16
home 3
horrible 1
horrified 1
house 4
however 2
human 3
humanity 2
hunger 1
hunting 1
hypnotic 1
if 1
immortal 1
in 18
informs 2
instantly 1
instincts 1
intends 1
interest 1
interrupted 1
into 7
investigates 1
is 20
it 3
join 2
joy 1
kevin 9
kill 2
kind 1
knows 1
last 2
learned 1
like 1
lingering 1
lives 1
lizzie 3
loses 2
loss 1
lost 2
lowered 1
magical 1
make 1
male 1
many 1
martin 20
meant 1
meets 1
memory 1
mentions 1
met 1
mind 2
mother 3
much 1
must 2
mysterious 1
nature 2
never 3
newly 1
newspaper 1
next 2
night 2
not 3
now 3
of 31
off 2
offers 1
old 1
on 8
once 1
one 2
only 2
option 1
or 2
other 2
out 5
outside 1
over 2
overcome 1
overwhelmed 1
parents 2
park 2
past 1
path 1
permanently 1
personality 1
pet 1
phoenix 9
phoenixs 1
plans 1
powerful 1
powers 2
presence 1
prior 1
pure 1
purifying 1
purity 1
questions 1
rat 2
rats 4
reading 1
realise 1
realised 1
realises 4
red 1
refuses 1
remain 2
remaining 1
remembers 1
resolves 1
restless 1
retain 1
return 4
revulsion 1
room 2
runs 1
safe 1
scornfully 1
see 2
seems 2
sees 2
sends 1
sensing 1
sent 1
sets 1
sewers 1
shape 1
she 35
shock 1
simply 1
since 1
skill 2
sleeping 1
slips 1
so 4
some 2
somehow 2
something 1
soon 1
source 1
speak 1
spoke 1
standing 1
steps 1
still 1
stimulates 1
street 1
streets 1
strong 1
struggle 1
succumb 1
such 1
suddenly 2
summons 1
supernatural 1
survival 1
suspicion 1
switcher 5
switches 1
switching 1
takes 3
telepathic 1
tells 4
tess 25
that 24
the 71
their 3
them 4
then 1
there 3
therefore 1
they 3
this 4
those 1
thousands 1
through 2
time 2
to 41
too 1
toward 3
transforms 1
trees 1
tries 3
truly 1
turn 1
two 1
undead 1
upon 3
upset 1
upsetting 1
uses 2
using 1
vampire 6
vampirism 2
vanishes 1
victim 1
visit 2
visits 1
vulnerable 1
walk 1
wants 1
warmth 1
warns 1
was 1
wasting 1
what 2
when 7
where 2
which 6
while 1
who 5
whose 1
will 4
willingly 1
with 3
within 1
woman 1
work 1
world 1
worried 2
would 1
wrong 1
young 1
zoo 3
