5677867
/m/0dzn9s
/m/0dzn9s
Joseph Wambaugh
1971-01-30
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
160 1
165 1
a 12
about 1
absent 1
academy 2
acquires 1
adultery 1
again 1
al 1
alcoholism 1
all 2
am 1
and 15
andy 1
angeles 1
anniversary 1
apparent 1
appear 1
appearances 1
are 2
as 3
assignments 1
at 3
atavistic 1
attitudes 1
attributed 1
august 2
autobiographical 1
bad 1
balanced 1
basically 1
baxter 1
be 1
beat 1
began 1
black 2
blackglove 1
bloomguard 1
blue 2
book 2
books 1
both 1
brutal 1
brutality 1
bumper 1
but 2
by 3
can 1
career 1
caused 1
centurions 4
changes 1
chapter 1
character 2
characterize 1
characters 1
choirboys 5
classmates 1
clothes 1
common 1
communities 1
compares 1
considered 1
consistently 1
contact 1
converging 1
cop 2
culminating 1
czech 1
delta 3
depicting 2
detective 1
districts 1
dome 1
duncan 1
duran 2
during 1
each 3
entirely 2
entrenched 1
episodically 1
epitomized 1
events 1
examines 1
experiences 1
experimented 1
explored 1
explores 1
fehler 1
fehlerare 1
few 1
fiction 2
field 1
fifth 1
first 2
firstperson 1
flashback 1
found 2
fourth 1
frankness 1
from 4
glitter 1
graduate 1
gus 2
harold 1
has 1
have 1
he 3
heller 1
hints 1
his 8
how 1
however 1
humor 1
impacted 1
in 24
indistinguishable 1
influence 1
instead 1
is 13
job 1
joseph 1
juvenile 1
kilvinsky 1
knight 2
known 1
lapd 5
like 1
likely 1
little 1
lives 1
los 1
mackey 1
major 1
many 1
marble 1
mario 1
men 1
method 1
minority 2
morgan 1
most 1
move 1
much 1
narration 1
nearly 1
new 5
no 1
nonfiction 1
not 2
novel 2
novelistic 1
novels 2
of 22
officer 3
officers 4
officersserge 1
older 1
on 1
once 2
one 3
onion 1
only 1
onthejob 1
openly 1
other 1
parallel 1
particular 1
particularly 1
paths 1
patrol 1
plain 1
plebesley 1
plebesly 1
plot 1
point 1
police 7
portray 1
portrayed 1
protagonists 2
psychological 1
racism 1
rampant 1
ranks 1
realistically 1
reluctance 1
repeatedly 2
reunion 1
riot 1
ronald 1
rookie 2
roscoe 1
roy 2
rules 1
rumpled 1
satirical 1
seen 1
serge 1
sergeant 1
several 1
sgt 2
significance 1
slate 1
so 1
spermwhale 1
star 3
straightforward 1
street 1
stresses 1
structure 1
style 2
succeeding 1
suicide 2
summer 1
that 2
the 46
their 2
them 1
theme 2
they 2
thirdperson 1
this 1
those 1
three 3
throughout 1
to 4
traits 1
type 2
types 1
uniformed 1
until 2
use 1
using 1
valnikov 1
vernacular 1
veteran 2
vice 3
view 1
vignettes 1
villalobos 1
voice 1
wambaugh 9
watts 1
whalen 1
what 1
which 2
while 1
whitey 1
who 1
whose 1
wilshire 2
with 4
without 1
work 4
working 2
writing 1
written 1
years 2
