17845285
/m/04791fb
/m/04791fb
Jacqueline Carey
2008-06-12
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 187
abdicate 1
abducted 2
abide 1
abides 1
able 2
about 29
absence 1
accepted 1
accepts 1
accompany 1
accomplished 1
acknowledge 1
acknowledged 1
acting 1
action 1
actually 3
adamantly 2
adepts 1
adequately 1
admiral 1
admitted 2
aeolia 1
affair 1
affected 4
affecting 1
afford 1
afraid 1
after 29
aftermath 1
afterward 2
again 12
against 2
agallon 1
ago 3
agonizing 1
agony 1
agree 2
agrees 11
ahead 1
aid 2
alais 15
alba 4
alban 1
alerted 1
alerting 1
align 1
aligned 1
alive 1
all 38
allay 1
alliances 1
allies 1
allow 3
allowed 1
allowing 1
allows 1
alludes 1
ally 1
almost 1
alone 8
along 2
already 3
also 23
altar 1
alternate 1
although 1
always 6
amarante 1
amarantes 1
amazigh 11
amazighgroup 1
amazing 1
ambassador 2
ambush 1
amid 1
amilcar 3
amused 1
an 29
anael 1
and 394
anger 1
angle 1
angry 1
animosity 1
announced 1
announcement 1
another 3
answer 2
answers 2
any 7
anyone 5
anything 4
anytime 1
apartments 1
ape 1
apology 1
apparently 1
appear 1
appearances 1
appears 3
apply 1
apprentice 1
apprentices 1
approached 1
approaches 1
approaching 1
approval 2
aragon 2
aragonia 19
aragonian 9
aragonians 3
archers 1
are 41
area 1
argument 1
armbands 1
arms 2
army 4
around 9
arranged 2
arrival 3
arrive 3
arrived 2
arrives 6
arriving 2
arrogance 1
as 66
ashamed 1
asherat 1
ask 2
asked 6
asking 2
asks 18
asleep 3
assist 2
assistance 2
assumed 1
assure 1
assures 1
astegal 55
at 53
ate 1
attack 3
attempt 2
attempting 1
attend 2
attendance 2
attention 1
audience 6
avenging 1
aviline 1
avoid 1
await 1
awaiting 3
awakes 2
away 6
awoken 1
azza 1
back 25
ball 1
bandaging 1
barely 1
barge 4
barquiel 19
bastard 2
bath 1
bathe 1
baths 1
battle 3
battlefield 1
battleknowledge 1
be 53
bear 1
bearers 2
bearing 1
beauty 1
because 11
become 6
becomes 3
bed 5
been 26
before 23
began 1
begin 7
beginning 2
begins 8
behalf 1
behaviour 1
behind 4
being 19
believe 3
believes 2
believing 1
belligerent 1
belongs 1
berating 1
berlik 3
besotted 2
best 2
betrayed 1
betrothal 1
better 2
between 6
bid 1
binding 3
bindings 3
binds 2
birthday 1
bit 4
bits 1
black 1
blessed 1
block 1
blockade 2
blockaded 1
blocks 1
blood 1
bloodlust 1
blow 1
blows 2
blue 1
board 1
bodeshmun 30
body 1
bodyguard 1
bond 1
bonds 2
book 1
border 1
bordering 1
borders 1
both 9
bothered 2
bottom 1
bound 7
boy 1
bracers 1
break 2
breakes 1
breaks 1
brigita 1
brilliance 1
brilliant 1
bring 2
bringing 1
brings 1
broken 1
brother 1
brothers 1
brought 4
brow 1
buried 1
burning 1
burns 1
bursts 1
but 69
buy 1
by 47
cabin 1
cadmar 1
call 3
called 2
calling 1
calls 3
camael 1
camped 1
can 15
canis 1
cannot 4
capable 1
captain 2
captained 1
captured 2
care 6
carefully 1
caring 1
carpet 1
carriage 1
carried 2
carry 1
carrying 1
carthage 25
carthaginian 9
carthaginians 5
case 1
cassiel 1
cassiline 1
cast 2
castle 3
casual 1
catch 2
catches 2
caught 1
caused 1
causing 1
cautious 5
celebrate 1
celebration 2
celebrations 1
cellar 1
central 1
ceremony 1
certain 1
chair 1
chambermaid 1
chambers 1
champion 1
chance 1
change 1
chaos 1
charge 1
charmed 1
chat 1
check 1
chess 3
child 4
children 1
chirurgeon 1
choice 2
chooses 1
choosing 1
chosen 1
choses 1
city 34
civil 1
claims 1
claude 2
clear 6
clearly 7
cloak 1
close 2
closely 1
closest 2
clothes 1
clothing 5
clunderry 1
combat 1
come 13
comes 19
coming 2
commitment 1
commits 1
common 2
commonplace 1
commotion 1
communicates 1
commute 1
commuted 1
companions 2
compels 1
completely 2
compliments 2
components 1
composed 1
concerns 1
conference 1
confronting 1
confused 3
connection 1
conquer 1
consciousness 1
consent 2
consents 1
consideration 1
considering 1
consort 2
constantly 1
consult 1
contact 3
contacting 1
contains 3
continue 1
continues 2
convenes 2
conversation 4
convince 3
convinced 1
convinces 1
cooled 1
coregent 1
costumes 1
could 6
couldnt 1
council 4
count 1
counterparts 1
country 4
couple 3
courcel 3
course 2
court 2
cousin 2
cover 1
crowds 1
cruarch 1
curious 1
custody 1
cut 1
cycle 1
cythera 20
dagger 1
damaged 1
dange 26
dangeline 5
dangelines 2
dangers 2
date 1
daughter 2
dauphine 1
day 20
daylight 1
days 9
de 5
deal 3
death 4
debate 1
debt 1
deceit 1
decide 8
decided 4
decides 6
decision 4
decisions 1
declaration 2
declare 5
declares 3
declining 1
deeply 4
deepseated 1
defend 1
defense 2
defied 1
delaunay 1
delaying 1
delegation 6
delight 1
deliver 4
demanding 1
demon 1
demurs 1
depart 1
departing 1
desert 2
desire 2
desperate 1
desperation 1
despite 3
details 1
did 2
didnt 1
die 1
died 1
dies 2
different 1
dinner 1
diokles 3
diplomatic 1
directly 1
discerns 1
discouraging 1
discreetly 1
discuss 1
discussed 1
discussion 6
disguise 1
disguised 1
disinherit 1
disjointed 1
dislikes 1
dismissed 2
dismisses 5
disoriented 2
dispatched 1
displeased 2
distant 1
disturbs 1
diverting 1
divine 1
do 24
docks 1
does 26
doesnt 1
doing 1
don 1
done 5
dont 3
door 4
dorelei 2
dote 1
doubt 1
dowayne 1
down 3
downward 1
dozing 1
dramatic 1
drastic 1
draught 5
draw 1
drawn 1
dress 1
dressed 1
drifts 1
drink 1
drive 1
drugged 2
drunk 3
drustan 7
due 1
dungeons 1
duration 2
during 16
each 7
eager 2
eamonn 1
earlier 2
earrings 1
eases 1
easiesttoreach 1
easily 3
eclipse 1
effect 3
effluvium 1
effort 1
efforts 1
eglantine 2
eisheth 4
elemental 1
else 4
elua 21
embarrass 1
emerald 2
empathetic 1
enamored 2
end 4
endeavor 1
ending 1
endorsed 1
ends 3
engagement 1
enough 5
ensnared 2
enter 1
entertainment 1
entire 1
entirely 1
entourage 2
entrust 1
entry 2
erase 1
escape 2
escaped 1
escort 2
escorted 2
escorts 1
esme 3
especially 1
estates 1
eukerri 1
eunuch 1
euskerri 13
euskerria 3
euskerrian 2
even 10
evening 2
eventually 3
ever 2
every 4
everyone 9
everything 4
everywhere 1
evidence 1
evidently 1
evil 1
evokes 1
exactly 1
example 1
except 4
exchanged 1
excursion 1
execution 3
executioner 1
exile 2
exist 1
expected 2
experience 1
explain 7
explains 3
explanation 1
explodes 1
expose 1
expresses 1
eyes 2
face 1
fade 1
fails 1
fake 4
fallen 2
falling 2
falls 4
false 1
families 1
family 3
fancy 1
far 1
fashion 1
fast 1
faster 1
fault 1
favor 3
favorite 1
favrielle 2
fears 1
feel 1
feeling 6
feelings 1
feels 3
feet 1
fell 1
fellow 1
felt 2
fever 1
feverish 1
few 5
fifteen 1
fight 5
fighting 1
fights 1
figure 2
figuring 1
filled 1
finally 12
find 13
finding 3
finds 13
fire 3
first 8
fists 1
five 1
flagstones 1
flailing 1
flare 1
flash 1
flattering 1
flatters 1
flee 1
flesh 1
flirt 1
flirts 1
flower 1
flowing 1
follow 1
following 2
follows 1
fool 2
fooled 1
foolishness 1
for 87
forbid 2
forbidding 1
force 1
forced 1
forces 4
forever 1
forge 1
forget 1
forgive 1
forgotten 2
former 1
forward 1
fosterson 1
found 4
four 1
free 6
friend 4
friends 4
frightened 1
frightens 1
from 43
front 4
fruitless 1
fte 2
fulfills 1
full 4
funeral 1
further 1
fussed 1
gambit 2
games 1
garb 1
gardener 1
gates 1
gather 1
gathered 2
gathering 1
gave 1
gem 4
gems 1
gemstone 4
general 4
genuine 2
genuinely 1
get 17
gets 6
ghafrid 1
ghafridgebla 2
gift 2
gillimas 8
girl 2
girom 3
give 10
given 4
gives 5
giving 3
glamour 3
glorious 1
go 14
goals 1
god 1
goddess 1
gods 1
goes 18
going 2
gold 3
gone 3
good 2
gossiping 1
gotten 1
grant 1
gravely 1
great 2
greatly 3
green 4
greets 1
grieving 1
gripped 1
ground 3
group 2
grudge 1
grudgingly 2
guard 8
guarded 1
guards 10
guess 1
guide 1
guild 15
guise 4
gut 1
had 66
hadnt 1
haggard 1
halfbrother 3
hall 2
hand 1
hands 1
handspan 1
happen 2
happened 6
happens 3
happily 2
happiness 3
happy 1
hard 1
hardtobelieve 1
harmed 1
harmless 2
has 69
hatches 1
hate 1
hates 1
have 35
having 7
hazard 1
he 208
head 2
headed 1
heal 2
healing 1
heals 1
heard 2
hearing 4
hears 2
heart 4
heavy 2
heirs 1
held 2
hellene 3
help 21
helps 1
her 132
herded 1
herself 5
hidden 3
hide 1
hides 1
highly 1
hilt 1
him 113
himself 17
hinted 1
hiram 1
his 121
history 2
hold 3
holding 1
holdings 1
hollow 1
hologist 1
home 5
honor 1
hope 3
hopefully 1
hoping 4
horned 1
horologists 5
horrible 1
horrified 3
horse 3
hostage 2
hour 1
hours 3
house 9
how 19
however 19
humanly 1
hundred 3
hunt 2
hurried 1
hurry 2
hurt 2
husband 2
hyacinthe 1
hypnosis 1
idea 5
if 17
immediately 3
immune 1
impending 1
implies 1
important 1
impression 1
imriel 238
in 118
