1955111
/m/068p_h
/m/068p_h
Paul Zindel

a 2
abusive 1
abysmal 1
and 8
any 1
around 1
as 1
at 1
attempts 1
beatrice 3
beatricedriven 1
beautiful 1
believe 1
but 2
by 3
characters 1
collapse 1
consisting 1
constantly 2
continues 1
cope 1
course 1
daughters 1
deepseated 1
deformed 1
despite 1
diverge 1
drama 1
due 1
dysfunctional 1
end 1
ends 1
enmity 1
everyone 1
everyonekills 1
experiment 1
exposed 1
extroverted 1
fair 2
family 1
for 1
from 1
girls 1
hardy 1
has 2
her 10
however 1
hunsdorfer 1
in 3
insanity 1
insignificance 1
involving 1
is 5
lack 1
life 2
like 1
lyrical 1
marigolds 2
matilda 1
mother 4
much 1
nervous 1
of 8
opportunities 1
out 1
over 1
own 2
paths 1
perceived 1
perseverance 1
pet 1
peter 1
play 5
prepares 1
progresses 1
project 1
rabbit 1
radioactivity 1
raised 1
reminiscent 1
revolves 1
ruth 3
science 2
secretly 1
seeds 1
selfcentered 1
she 1
shy 1
single 1
sister 1
stamp 1
stand 1
status 1
style 1
submits 1
succeeding 1
success 1
tennessee 1
that 1
the 14
their 1
this 1
three 1
through 1
thwarted 1
tillie 5
to 9
towards 1
tries 1
try 1
two 1
unstable 1
up 2
valuable 1
verge 1
wallowing 1
who 4
will 1
williams 1
wins 1
with 1
