296043
/m/01r812
/m/01r812
Ivan Goncharov
1859
{"/m/02xlf": "Fiction"}
184 1
185 1
a 39
accepted 1
according 1
ace 1
adopts 1
affairs 1
after 1
agafia 2
all 6
already 1
also 1
am 2
amid 1
among 1
amthat 1
an 8
and 44
andrey 2
apathetically 1
apathy 1
are 2
around 1
arrived 1
art 1
as 15
at 8
attempt 1
attending 1
attitude 1
avoid 1
awakened 1
away 1
back 2
bald 1
barely 1
basic 1
be 3
beards 1
because 1
become 1
bed 3
bedroom 1
been 6
before 2
began 1
beginning 1
behavior 1
being 2
beneath 1
between 1
bit 1
bitter 1
blackmailing 1
book 1
born 1
bowed 1
boy 1
brass 1
bringing 1
broke 1
brother 1
bumps 1
burning 1
burst 1
burying 1
bushy 1
business 1
but 13
buttonsa 1
by 6
called 2
calls 1
can 2
cannot 1
care 1
cause 1
cease 1
century 2
chair 1
chapter 1
character 1
characteristic 2
check 1
cherished 1
child 3
christmas 1
class 2
classes 1
clear 1
clearly 1
clothes 1
come 1
comedic 1
common 1
completed 1
complex 1
conducting 1
confronts 1
conscience 1
constantly 1
consumed 1
contracted 1
contrast 1
conversation 1
coughed 1
could 6
country 5
courtship 1
creation 1
crisis 1
critical 1
crowd 1
cut 1
daily 1
damage 1
dancing 1
day 3
deal 1
death 2
decided 1
decisions 1
dedicated 1
defenceless 1
delaying 1
demise 1
deteriorating 1
develops 1
did 3
different 1
dignity 1
diminution 1
direction 1
disciplined 1
discovers 1
distinguished 1
distinguishing 1
do 3
doesnt 1
doing 1
done 1
dream 2
dry 1
during 2
duties 1
each 3
elbow 1
elderly 1
elite 1
encourage 1
end 2
ends 1
engagement 1
entered 1
entitled 1
environment 1
episode 1
estate 3
european 1
even 2
evening 1
evolved 1
exactly 1
examines 1
excerpt 1
expanded 1
explaining 1
extend 2
face 2
faced 1
fact 1
fading 1
faint 1
fall 1
farther 2
fate 1
father 1
fear 1
feet 1
fell 1
felt 1
feudal 1
few 1
fight 1
finally 3
financial 1
first 1
fit 1
flashback 1
focuses 1
foot 1
for 6
forgive 1
form 1
former 1
forward 2
friend 2
from 9
future 1
gave 1
gentry 2
german 1
gesture 1
getting 1
glancing 1
go 1
goncharov 1
good 1
goodbye 2
grasp 1
great 1
grey 1
grizzled 1
grown 1
had 11
halfpast 1
hand 2
handkerchief 1
happy 1
hardworking 1
has 2
have 11
having 1
he 22
head 2
her 11
him 4
himself 2
his 31
house 3
household 1
houses 1
however 2
i 13
ilya 1
ilyich 1
impoverishment 1
in 23
included 1
income 1
incorporated 1
innovation 1
inquired 1
insufferable 1
into 5
introduces 1
is 12
issues 1
it 8
ivan 3
journey 1
just 3
keep 1
kicks 1
landed 1
landlady 2
landowners 1
last 3
lasts 1
late 1
later 1
least 1
leave 2
leaves 1
length 3
less 1
letter 1
life 5
like 3
listening 1
little 1
live 1
livery 1
living 1
long 1
lost 1
love 3
lows 1
lying 1
made 1
main 1
major 1
make 2
makes 1
man 2
manager 1
many 2
married 1
marry 1
marrying 1
master 1
matrimony 1
matter 1
matveyevich 3
may 1
me 5
meal 1
meanwhile 1
member 1
members 1
men 1
mentality 1
mentions 1
middle 1
midlife 1
might 1
miles 1
mind 1
moment 1
moments 1
more 2
morning 2
mother 1
moving 1
much 3
murmured 1
must 1
my 1
name 1
negative 1
never 4
night 1
nineteenth 2
no 1
noble 2
not 5
nothing 2
notice 1
novel 6
now 1
oblomov 28
oblomova 1
oblomovitis 1
oblomovka 2
of 40
off 2
office 1
old 1
olga 3
on 3
once 2
one 3
or 5
order 1
ordinary 1
our 1
out 6
over 1
own 1
painfully 2
pair 1
paris 1
part 1
parties 1
parting 1
passed 1
pate 1
pattern 1
penury 1
perfectly 1
perform 1
period 1
plunged 1
prayer 1
prepare 1
presence 1
presently 1
problems 1
promised 1
pshenitsina 2
pulled 1
purpose 1
putting 1
quickly 1
quiet 1
raised 2
raises 1
raising 1
reaches 1
reader 1
real 1
really 1
reasons 1
receives 1
recent 1
reflecting 1
reform 1
refusal 1
refused 1
relapsed 1
relations 1
relationship 1
remained 1
remember 1
remembered 1
reminder 1
repeatedly 1
reports 1
required 1
rest 3
retired 1
return 1
reveals 1
rise 1
romance 1
room 2
rotten 1
russia 2
russian 2
said 4
sat 1
say 3
scene 1
school 1
second 1
see 1
seemed 1
sees 1
selfpossession 1
seriously 1
servant 1
shake 1
shall 2
she 11
shine 1
short 1
should 1
shoulder 1
shout 1
shrovetide 1
sigh 1
single 1
sinking 2
situation 2
sketch 1
slaps 1
slipped 1
slippers 1
slothful 2
slough 1
so 5
sobbing 1
sobs 1
social 1
society 3
sofa 1
some 2
something 2
sometime 1
son 2
sorrow 1
sound 1
spasms 1
speak 1
spends 2
spoiled 1
sported 1
steps 1
stoltz 7
storm 1
story 2
street 1
stretch 1
strict 1
strike 1
struck 1
success 1
succulent 1
such 2
sufficed 1
suit 1
supervisor 1
supposed 1
sure 1
survive 1
surviving 1
swindled 1
symbolize 1
table 1
take 2
taken 2
taranteyev 3
tea 1
tears 1
tell 1
ten 1
thankfulness 1
that 14
the 48
their 4
them 2
then 3
there 1
therefore 2
these 1
they 2
think 1
thinking 1
this 3
though 2
thought 2
thousand 1
three 1
throat 1
through 2
time 3
tis 1
to 31
today 1
token 1
too 4
torture 1
toto 1
towards 1
trait 1
traits 1
tried 4
trips 1
trivial 1
true 1
two 2
undergone 1
undo 1
unfinished 1
until 2
up 4
upbringing 1
upon 4
upper 1
used 1
uselessness 1
vacations 1
valet 1
vexedly 1
view 1
village 1
visit 1
visited 1
visits 1
waiting 1
want 1
was 5
way 1
we 1
wealthy 1
weapons 1
wedding 1
weeping 1
well 1
wept 1
were 2
what 4
when 3
where 1
whereupon 1
which 4
while 2
whiskers 1
who 3
