22664248
/m/05zzy84
/m/05zzy84
Idries Shah
1967
20th 1
7th 1
a 5
account 1
an 1
and 3
author 1
brief 1
but 1
centuries 1
certain 1
claimed 1
classical 1
collection 1
contemporary 1
dervishes 1
each 1
entertainment 1
fables 1
familiar 1
for 1
from 2
functions 1
gathered 1
genre 1
in 1
instrumental 1
introduced 1
is 1
it 1
its 1
legends 1
moralistic 1
of 4
offers 1
or 1
oral 1
parables 1
period 1
place 1
postscript 1
provenance 1
readership 1
sources 1
spanning 1
stories 1
story 2
such 1
sufi 2
tales 2
teaching 1
texts 1
the 5
them 1
to 3
tradition 1
unfamiliar 1
use 1
values 1
with 2
