4294747
/m/0bvmb6
/m/0bvmb6
P. G. Wodehouse

{"/m/0707q": "Short story"}
a 2
abercrombie 1
air 1
an 1
at 1
baxter 1
be 1
blandings 1
cannot 1
care 1
chooses 1
confiscated 1
connie 1
constance 1
decided 1
dismay 1
efficient 1
employ 1
emsworth 2
estate 1
fianc 1
from 1
george 3
grandson 1
gun 1
has 1
her 1
him 2
his 1
holidaysand 1
imagine 1
in 1
jane 1
keep 1
lady 1
line 1
lord 1
manager 1
master 1
meanwhile 1
much 1
needs 1
niece 1
of 3
on 1
out 1
over 1
pig 1
position 1
rather 1
reading 1
rupert 1
shows 1
summer 1
that 1
the 7
to 3
tutor 1
until 1
wants 1
way 2
whiffle 1
who 1
would 1
young 1
