2550967
/m/07mj7l
/m/07mj7l
Haruki Murakami
1980-06
a 7
abuse 1
also 2
alternates 1
an 1
and 7
apartment 1
appear 1
are 4
as 1
at 1
between 1
bird 2
book 1
brief 2
but 1
cat 2
centers 1
character 1
chronicle 2
describes 1
describing 1
disappear 1
discussion 1
efforts 1
element 1
elements 1
elsewhere 1
end 1
especially 1
familiar 1
female 1
fiction 1
for 1
freelance 1
friend 1
from 1
girlfriend 1
hanged 1
he 2
herself 1
his 6
identical 1
important 1
in 7
intense 1
interspersed 1
is 2
japanese 1
kafka 1
later 3
life 2
like 1
living 1
machine 1
many 1
memories 1
mentioned 1
missing 1
morning 1
motifs 1
movement 1
murakami 4
mysteriously 1
name 1
naoko 1
narrative 1
narrator 2
norwegian 1
novel 1
novels 2
obsession 1
occur 1
of 9
often 1
old 2
on 2
one 1
pair 1
pinball 3
play 2
plot 3
plotline 1
present 1
prominent 2
rain 1
rat 1
recurs 1
reunite 1
role 1
same 1
sea 1
search 1
several 1
shore 1
student 1
that 2
the 18
there 1
times 1
to 2
translator 1
twins 1
unnamed 1
used 1
wells 1
which 3
who 2
windup 2
with 4
wood 1
