215316
/m/01fjmk
/m/01fjmk
Pierre Boulle
1963
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
20thcentury 2
2500 1
350 1
700 1
a 33
about 3
act 1
adopted 1
after 1
air 1
all 1
allow 1
although 2
an 3
analysis 1
ancient 1
and 41
antelle 2
ape 3
apes 12
archaeological 1
are 8
around 1
arrive 1
arthur 1
as 7
astronauts 1
at 5
attempts 1
be 4
became 2
because 3
beginning 1
behaving 1
being 1
beings 3
believe 1
betelgeuse 1
between 1
book 1
bottle 4
brains 1
breathe 1
built 1
but 1
by 9
cage 2
can 1
capable 1
captivity 1
capture 1
captured 3
centuries 1
chimpanzee 2
chimpanzees 5
city 4
civilization 1
cliff 1
clothing 3
companion 2
completely 1
conditioned 1
conditioning 1
conservative 1
consisting 1
contact 1
contains 1
convinced 1
cornlius 3
could 1
couple 2
cruise 1
culture 1
degenerate 1
degenerated 1
dependent 1
derision 1
destroy 1
dig 1
dilation 1
discover 1
discovers 2
discovery 1
dismiss 1
distant 3
divided 1
do 1
dogs 1
dr 1
drawing 1
drink 1
each 1
earth 7
earthlike 1
eat 1
encounter 1
end 1
enslaved 1
escapes 1
events 1
eventually 2
evidence 2
exactly 1
except 2
exists 1
experiments 2
explains 1
explore 1
exterminated 1
eyes 1
facility 1
faculties 1
failing 1
faking 1
falls 1
fear 1
feet 1
fell 1
female 2
few 1
fianc 1
figures 1
fills 1
find 3
fled 1
flew 1
floating 1
for 7
forest 2
found 2
frame 1
freed 1
friend 1
frightened 1
from 5
front 1
furniture 1
generation 1
genius 1
geometrical 1
get 1
given 1
gloves 1
go 1
gorillas 2
grant 1
guns 1
had 2
has 2
have 3
he 14
hector 1
help 1
her 2
him 3
his 13
history 2
hours 1
however 2
human 8
humans 9
hunt 1
hunting 3
identical 1
imitates 1
immediately 1
impregnates 1
in 26
including 2
inside 1
instead 1
intellectual 1
intelligence 3
intelligent 2
into 2
invented 1
is 15
it 8
jinn 3
just 3
kept 1
kills 1
labor 2
lake 1
land 1
lands 1
language 2
large 1
last 1
latin 1
launches 1
lazy 1
leading 1
learns 3
leaves 1
left 1
levain 2
liberty 1
life 1
light 1
like 1
local 1
looks 1
lost 2
love 1
lowers 1
machines 1
main 1
make 1
makes 1
man 1
manual 2
many 1
meets 1
memory 1
message 2
met 1
might 1
mind 1
missing 1
more 3
most 2
mrou 1
must 1
name 1
named 2
narrative 1
nearest 1
nearly 1
newborn 1
not 2
nova 1
now 1
numerous 1
of 28
off 1
old 1
on 8
once 1
one 1
only 1
orangutan 2
orangutans 1
originally 1
origins 1
other 1
others 3
our 1
out 2
outer 1
outside 2
over 1
overthrown 1
paris 1
part 1
particular 1
party 3
past 2
patrons 1
pavlov 1
pedantic 1
perform 2
philosophy 1
phyllis 3
physicist 1
placed 1
places 1
planet 7
planetary 1
pleasure 1
point 1
possibility 1
prehensile 1
president 1
primitive 6
primitively 1
professor 6
progressed 1
protagonist 2
proves 2
reach 1
red 1
reject 1
representatives 1
research 1
researchers 1
respected 1
returning 1
revealed 2
ruled 2
same 2
saying 1
scientist 3
scientists 1
see 2
seems 1
sent 2
servants 1
several 1
she 1
ship 3
shoes 1
shoots 1
sign 1
similar 1
sirius 1
sister 1
slowly 1
smaller 1
so 2
society 4
sold 1
some 3
someone 1
son 1
soror 1
space 3
spaceship 3
speak 1
speaking 1
specially 1
species 1
speech 1
speed 1
sport 1
standing 1
star 1
startled 1
state 1
stay 1
story 4
such 1
sun 1
survived 1
swim 1
system 2
tailored 1
take 2
taken 1
teaches 1
technological 1
technology 1
testimony 1
than 1
that 16
the 81
their 8
them 3
theorized 1
there 1
these 1
they 13
this 6
those 1
threat 1
three 1
through 1
thus 1
time 5
to 20
tours 1
travel 1
traveled 1
travelers 1
traveling 1
trip 1
turns 1
two 1
ulysse 14
uncovered 1
understanding 1
until 2
upon 1
use 1
using 1
vegetation 1
very 1
violent 1
visit 1
was 3
water 1
wear 2
well 1
were 1
when 1
which 7
while 2
who 5
whom 1
wife 1
will 1
with 7
woman 2
would 2
write 1
writes 1
years 3
young 4
zaius 1
zira 3
zoo 1
