7365657
/m/025_gd2
/m/025_gd2
Allegra Goodman
1998-08-10
176 1
178 1
a 14
adhering 1
affection 1
afflicted 1
again 1
against 1
also 1
ambitious 1
an 3
and 7
andras 1
another 2
are 2
around 2
as 4
assistant 1
at 1
attention 1
attracts 1
baby 1
become 1
binds 1
both 1
boundaries 1
boy 1
brilliant 1
business 1
but 3
center 1
certification 1
characters 1
christians 1
clandestine 1
closing 1
coexist 1
college 1
community 1
conceives 1
concerns 1
crackdown 1
darmstadtcooper 1
daughters 1
deep 2
dictatorial 1
dies 1
disease 1
distance 1
distrust 1
dream 1
earns 1
elder 1
elderly 1
elizabeth 4
expectations 1
experiences 1
faithful 1
falls 1
family 1
fatherinlaw 1
fawess 1
five 1
for 5
forges 1
forms 1
friendship 2
from 1
girl 1
grocery 3
growing 1
gutsy 1
hand 1
he 1
heights 1
her 7
his 4
home 1
in 7
ira 1
is 4
isaiah 5
its 1
jeremy 1
jews 2
job 1
just 1
kaaterskill 2
kirshner 7
kosher 1
launches 1
laxities 1
laxity 1
learn 1
learns 1
left 1
life 1
line 2
live 1
lively 1
lives 1
local 3
meanwhile 2
melish 3
middleaged 1
midway 1
most 2
mother 2
new 2
nina 1
novel 1
of 11
on 1
once 1
opening 1
order 1
orthodox 2
others 1
over 1
parkinson 1
people 1
perceived 2
permission 1
plodding 1
plot 2
power 1
pregnant 1
prescribed 1
professor 1
rabbi 2
rabbinic 2
rachel 2
rav 2
rebels 1
reclusive 1
reins 1
reluctant 1
remains 1
renee 2
resents 2
residents 3
restless 1
revolves 1
role 1
roots 1
rubin 1
run 1
sect 3
secular 1
sense 1
serve 1
she 4
shulman 1
shulmans 1
sixth 1
small 1
smashing 1
somewhat 1
son 2
spans 1
stephanie 1
still 1
store 3
strict 1
strife 1
struggles 1
success 1
succession 1
summer 5
symbiosis 1
synagogue 1
syrian 1
takes 1
teenage 1
that 1
the 22
thirtysomething 1
this 1
through 1
time 1
to 7
two 1
ultimately 1
una 1
uneasy 1
unlikely 1
unsuitable 1
upstate 1
vigorous 1
washington 1
where 1
who 2
whose 2
widowed 1
wife 3
with 6
withdraws 1
within 3
woman 1
year 1
yearround 1
years 1
york 1
young 1
