27142770
/m/0bwgh6p
/m/0bwgh6p
Brian Lumley
1986
2 1
a 13
abilities 1
ability 4
after 1
all 1
along 1
also 2
an 2
and 15
army 1
as 4
at 3
back 1
batu 4
because 1
become 1
behind 1
betrays 1
between 1
beyond 1
body 1
boris 8
both 1
brenda 1
but 4
by 8
can 6
cannot 2
childhood 1
coinciding 1
cold 1
collective 1
conflict 1
consciences 1
contacted 2
continuum 2
corpse 1
crash 1
curse 1
dead 7
deadspeak 1
deal 1
defeating 1
die 1
dies 1
discovers 1
doors 1
down 2
dragonasi 2
dragosani 2
drags 1
draw 1
drowning 2
dying 1
each 1
earlier 1
eating 1
ebranch 2
english 1
enough 1
equivalent 1
espionage 2
eternity 1
even 1
eventually 5
evil 2
evolving 1
experience 1
extract 1
eye 2
eyes 1
faethor 1
fall 1
ferenczy 2
fight 1
finding 1
finds 1
first 1
followers 1
for 3
forcefully 1
former 1
friends 1
from 2
frozen 1
gain 1
gains 1
get 1
gives 1
goes 2
grows 1
gunshot 1
had 1
harry 13
having 1
he 9
head 2
help 1
her 2
him 5
himself 2
hired 1
his 15
house 1
however 1
husband 1
ice 1
in 9
increased 1
intellect 1
interposes 1
into 4
investigators 1
is 11
just 1
kill 3
killed 6
kills 2
knows 1
later 2
leader 1
leap 1
lifetime 1
like 1
lives 2
location 1
long 1
longchained 1
looking 1
loop 1
manipulates 1
marries 1
mathematician 1
mathematics 1
max 2
meanwhile 1
mind 1
mobius 3
mongul 1
more 1
mother 2
necromancer 2
new 1
newlyacquired 1
now 1
nowsuccessful 1
occur 1
of 8
offspring 1
on 1
once 1
one 3
only 1
opposition 1
other 1
out 1
per 1
places 1
plans 1
playing 1
psychic 1
realizes 1
realizing 1
recurring 1
relationship 1
remain 1
remains 1
reproduce 1
requests 1
reveals 1
river 4
rumors 1
russia 2
russian 2
sabotages 1
school 1
secrets 2
slowly 1
so 1
someone 1
space 1
speak 1
spies 1
spy 1
stepfather 4
strange 1
such 1
sudden 1
survives 1
sweetheart 1
symbiotic 1
talent 1
talents 1
talk 2
teacher 1
teaches 1
teleports 1
that 3
the 24
their 2
them 1
there 1
these 1
they 2
thibor 3
things 1
through 1
time 2
to 20
told 1
tracks 1
trap 1
travel 1
tries 2
turn 1
twice 1
two 1
undead 2
unfortunately 1
unit 1
up 1
use 1
uses 2
using 4
ussr 1
vampire 2
vampires 1
veteran 1
visit 1
walking 1
war 1
was 1
when 1
where 1
while 1
who 10
whose 2
with 6
world 1
wounds 1
writer 1
youth 1
