18633107
/m/04gj0wp
/m/04gj0wp
Diane Carey
1986-05-01
2seat 1
3 1
a 32
ability 1
able 1
aboard 1
about 2
academy 3
access 1
accidentally 1
action 1
activate 1
acts 1
admiral 1
advocating 2
affect 1
after 6
against 4
aggressively 1
aide 1
allows 1
along 1
also 4
altair 1
ambassadorial 1
an 8
and 93
andrustaurus 7
animosity 1
another 3
any 1
apparently 1
appears 2
arco 1
arcoclass 1
are 1
area 1
arming 1
arrest 1
arrested 1
arrival 1
arrived 1
as 4
assigned 2
asteroid 2
at 5
attack 5
attacked 1
attacking 1
attacks 1
attend 1
avoid 1
awarded 1
away 1
back 2
balks 1
bank 1
banks 1
basic 1
batteries 1
battle 1
bay 3
be 2
beam 2
beaming 1
bear 1
become 1
becomes 1
been 7
before 5
begins 3
being 5
believe 1
believing 1
benevolent 1
beta 1
between 1
biocode 2
birch 1
bluff 1
bluffs 1
boma 2
brian 2
bridge 3
briefely 1
briefly 2
brig 3
bring 1
burch 4
bureaucratic 1
but 3
by 12
cabin 2
cabinmates 1
cadet 1
can 3
candidate 1
captain 4
captains 2
cell 1
changes 1
charts 1
checkmating 1
circuits 1
civilian 2
civility 1
class 1
closer 1
collide 1
combat 1
come 2
command 1
commander 7
commanders 2
commandline 1
commands 1
comments 1
common 1
communication 1
communicator 1
comply 1
computer 3
conference 3
confine 1
confronted 1
considerably 1
considered 1
conspiracy 1
consult 1
contact 4
contacts 1
continue 1
control 1
controlling 1
conversation 1
coordinates 1
corridor 1
could 1
coup 1
crashing 1
creation 1
crew 8
cripped 1
curling 1
cut 1
cuts 1
cutting 1
damage 5
damaged 5
dead 1
deaths 1
debriefing 1
decide 1
decides 1
deck 3
deduced 1
defensive 1
design 1
desire 1
destroyed 1
destroyer 9
destroys 3
detected 1
detention 1
deteriorated 1
developing 1
device 1
disable 2
disabled 3
discovering 1
discuss 2
discusses 1
dish 1
disintegrate 1
dispatched 1
disregard 1
dissolves 1
disturbing 1
do 1
door 2
doors 1
doorway 1
dr 1
dreadnaught 1
dreadnought 9
dropped 2
drops 1
during 3
duties 1
earth 2
economic 1
effort 1
embarrassed 1
embarrassing 1
embarrassment 1
embassy 1
empire 25
empires 2
en 1
enable 1
encounter 1
ending 1
ends 1
engaging 2
engineering 2
engineers 1
ensues 2
enterprise 13
enterprises 1
equipment 1
escape 3
established 1
evacuate 1
evening 1
everybody 1
explains 2
extends 1
facing 1
fact 1
fails 1
fall 1
fatal 1
fearing 1
features 1
federation 4
feels 1
feigns 1
field 2
fierce 1
fight 2
fighting 2
finally 1
find 5
finds 5
fire 3
firealarm 1
fires 1
first 3
five 1
flag 1
flee 2
fleeing 1
flight 1
followed 1
for 7
forced 1
forcefield 2
four 3
free 1
friend 1
from 10
galactic 4
generated 1
get 1
gets 1
giving 1
go 1
going 1
goodbyes 1
gorn 1
governments 1
grabs 1
great 2
guard 2
guards 4
guilt 1
had 8
hails 1
hand 1
handheld 1
handpicked 1
hangar 4
hard 1
harsh 1
has 11
haul 1
have 6
having 1
he 9
head 2
heat 1
heavilyshielded 1
heavilyweaponed 1
heavy 7
help 2
helpless 1
her 19
here 1
hide 1
high 1
him 3
himself 1
hints 2
his 11
history 2
hits 2
hood 1
horrible 1
how 1
however 5
hull 1
human 1
humanoid 1
humanvulcan 1
ignorance 1
illprepared 1
immediately 1
immoral 1
in 27
including 1
increased 1
increasingly 1
indifferent 1
inflict 1
inflicting 1
informed 1
informs 3
initial 1
inside 2
instead 3
intention 1
intentions 2
interceps 1
intercom 1
interrupted 1
into 1
invention 1
iron 1
is 27
isolated 1
issue 1
it 8
its 3
jam 1
judd 1
keeps 1
kirk 17
klingon 4
klingons 2
kobayashi 2
largely 1
last 1
leadership 1
leave 1
leaving 1
led 1
left 1
let 1
lets 1
levels 1
lieutenant 1
light 1
lincoln 1
listen 1
lives 1
location 2
lock 2
long 1
longer 1
lover 1
lt 5
luring 1
make 1
manage 1
maneuver 1
maru 2
may 1
mccoy 1
measures 1
medals 1
meet 1
meeting 3
meets 2
men 1
merete 1
message 1
method 1
military 3
missing 1
more 4
move 4
moved 1
movement 1
moves 2
moving 1
multiple 1
name 2
named 5
native 1
nearest 1
needed 1
negotiation 1
neighbors 1
never 1
new 1
newlyactivated 1
no 2
not 1
novel 2
nowin 1
observing 1
odds 2
of 27
off 2
offensive 1
offer 1
officers 5
on 15
once 1
one 4
only 2
open 2
opens 1
opposing 2
order 2
ordered 1
orders 4
organizational 1
originally 1
ostracized 1
other 9
others 1
out 8
outside 1
over 5
override 1
party 1
past 1
pattern 2
paul 1
peace 1
personal 2
persons 1
phaser 6
phasers 4
photon 3
piper 35
placed 1
planning 2
plans 1
point 2
political 2
pompeii 6
pompeiis 5
potempkin 1
potential 1
power 1
presses 1
program 1
project 2
projection 2
projections 1
projects 1
promoted 1
proxima 1
pursuit 2
quarters 3
quickly 2
range 1
reach 1
reactivate 1
reads 1
realizes 1
reassigned 1
reassignment 1
recent 1
reflects 1
refuses 1
regulations 1
relations 1
relationships 1
reluctant 1
remaining 1
rendezvous 3
repeating 1
reports 1
request 2
rescue 1
research 1
results 2
retires 1
retreats 1
revealed 4
reveals 2
rittenhouse 22
room 5
route 1
run 1
runs 1
rush 1
s 1
sabotage 1
safety 2
sailing 1
same 1
sandage 4
sarda 16
sarga 1
saying 1
scanner 1
scenario 1
schooner 1
scientist 1
scott 1
screen 1
second 1
secondary 1
section 1
security 3
seeing 3
seized 1
selfdestruct 1
sends 1
senior 1
sensing 1
sensor 2
serious 1
served 1
set 1
several 2
she 10
shielding 2
ship 7
ships 3
shoots 1
short 1
shortly 2
shot 1
shots 1
shuttle 1
sides 1
sight 1
signal 1
significant 1
silayna 5
simulation 3
simulator 1
situation 4
skeleton 1
skimming 1
sled 3
sleds 2
so 1
socialist 1
sociopathic 1
some 1
something 2
sophisticated 1
special 1
specialized 1
spock 1
spot 1
spy 1
square 1
staff 1
star 27
starfleet 5
starship 1
starships 9
starthips 1
stateroom 2
stating 1
steal 1
still 1
stolen 1
stop 1
strained 1
stun 1
suddenly 2
suicide 1
summoned 1
surprise 2
surrender 1
suspicious 1
system 1
systems 2
take 2
takes 4
taking 1
talent 1
talents 1
talks 1
team 1
technique 1
tells 1
telosirizharcrede 1
terrorists 1
than 1
that 26
the 147
their 5
them 7
then 12
there 3
thereafter 2
they 17
this 3
threatens 1
three 5
through 3
throwing 1
thrown 1
to 72
together 1
topsecret 1
torpedoes 3
towards 2
tractor 1
transmission 1
transmissions 1
transmitted 2
transport 1
transporter 4
tricks 1
tries 2
triggering 1
trip 1
try 1
turns 1
two 7
unable 1
under 1
unhurt 1
unique 1
unite 1
unknown 1
unlock 1
until 2
untrained 1
unusual 1
unwillingness 1
up 1
upon 1
upper 1
use 1
uses 4
using 1
vaporized 1
various 1
vector 1
vessel 1
vessels 2
via 1
viceadmiral 2
victory 1
vulcan 4
vulcans 2
walking 1
warily 1
warp 1
was 4
weaponized 1
weapons 3
well 2
were 2
what 1
when 4
where 2
which 6
while 2
who 4
why 3
wind 1
with 24
withdraws 1
withstand 1
worked 1
would 2
years 1
