14814955
/m/03gywb7
/m/03gywb7
Cecelia Ahern
2008
a 3
about 1
agency 1
agrees 1
an 1
as 1
asks 1
become 1
been 3
before 1
believing 1
both 1
bound 1
brother 2
but 3
butler 1
called 1
childhood 1
discovers 1
donal 1
ever 1
everything 1
expecting 1
finding 2
for 5
force 1
found 1
from 1
garda 1
getting 1
goes 2
happen 1
has 2
have 2
having 1
he 1
help 1
her 3
here 2
herself 1
his 2
in 1
ireland 1
is 3
it 1
jack 2
jennymay 1
job 1
keeps 1
key 1
know 1
learning 1
left 1
life 1
looking 1
looks 1
lost 3
man 1
meanwhile 1
missing 4
more 1
named 1
never 1
obsessed 1
of 3
on 1
people 1
personal 1
place 1
police 1
possessions 1
republic 1
rival 1
ruttle 1
sandy 4
search 1
she 4
shortt 1
should 1
since 1
something 1
start 1
than 1
that 1
the 7
them 1
things 1
this 1
to 6
went 2
what 1
where 1
which 3
who 1
with 1
worked 1
world 2
year 1
yet 1
younger 1
