2849115
/m/086pns
/m/086pns
Nevil Shute

153 1
183 2
a 26
able 1
aboriginal 2
absorbed 1
abused 3
accreditation 1
administrative 1
ado 1
advanced 3
affairs 1
after 3
afterwards 1
aged 1
air 2
aircraft 7
airmen 1
airport 1
alcoholic 1
all 2
allowing 1
altered 1
although 1
an 8
ancestry 1
and 32
anderson 1
anglican 1
announces 1
another 1
apparently 1
are 6
around 1
arranges 1
arthur 1
as 8
asks 1
aspects 1
assigned 1
at 4
attack 1
attempt 1
austerity 1
australia 5
australian 8
aviators 1
awards 1
aware 1
back 2
be 5
beans 1
bearable 1
become 1
becomes 3
been 2
bituntil 1
bled 1
boac 1
bomb 1
both 4
box 2
boys 1
brings 1
britain 2
broadcast 1
but 8
by 12
cabin 2
calwell 1
can 3
canada 2
canadian 3
captain 1
carries 1
case 1
caught 1
cause 1
child 1
childrenthey 1
chosen 2
christening 1
christmas 2
circumstances 1
civil 1
clear 2
coincides 1
coles 1
come 1
commanding 1
commercial 1
commission 1
common 1
commonwealth 2
conditions 1
consort 1
contact 1
contemplating 1
control 2
could 1
countries 1
country 3
craft 1
create 1
crews 3
crisis 1
current 1
curtailing 1
daughter 1
david 4
deal 1
deathwatch 1
debate 1
decorated 1
delay 1
delighted 1
democracies 1
deriving 1
describes 1
devotes 1
died 1
difficult 2
diseased 1
diversion 1
diverts 1
doing 1
don 1
donate 1
down 1
dream 1
dreams 1
dress 1
dry 1
due 1
duties 1
dying 1
each 1
earned 1
economic 1
elder 1
elections 1
elite 1
employment 1
en 1
england 5
entourage 1
epilogue 1
european 1
every 1
exact 1
exhausted 1
expected 1
expenses 1
expilot 1
exringer 1
faced 1
falls 2
family 4
familybritain 1
father 1
field 1
finds 1
first 2
flight 4
flown 1
fly 2
flying 1
food 1
for 9
force 2
foreign 1
formal 1
framing 1
from 3
furnish 1
further 1
general 2
get 1
gets 1
gift 1
given 1
going 1
government 3
governments 1
governor 2
granted 1
ground 1
grow 1
gun 1
happen 1
hargreaves 5
has 8
have 3
having 1
he 7
heathrow 1
heavily 1
heavy 1
help 1
her 8
heritage 1
herself 1
him 6
himself 2
his 6
humble 1
hundreds 1
impossible 1
in 26
inadvertently 1
including 1
inconvenience 1
individuals 1
initial 1
insist 1
inspect 2
institute 1
intelligent 1
interested 1
intervention 1
into 1
iorweth 1
is 29
island 1
it 7
its 1
jet 1
job 2
joining 1
jones 2
junior 1
labour 2
land 2
landing 1
large 1
later 1
learns 1
leave 1
lengthy 1
local 1
long 1
longer 1
lord 1
luggage 1
made 1
make 3
makes 2
malaria 1
manner 1
marry 2
maximum 1
may 1
meaning 1
meanwhile 1
meet 3
meetings 1
meets 2
member 2
men 1
mental 1
menzies 1
metal 1
middleaged 1
miles 1
minister 3
mixed 1
modern 2
monarch 3
monarchy 1
more 2
move 1
multiple 3
name 1
named 2
narrator 1
needs 2
new 2
nigger 15
no 2
not 5
now 2
obviously 1
of 25
off 1
offered 1
officials 1
on 8
one 3
only 4
opened 1
operating 1
opium 1
ordered 1
ordinary 1
origins 1
other 2
ottawa 1
outback 1
outside 1
oxford 1
parish 1
parliament 1
part 1
party 3
peaceably 1
people 1
pilot 2
placed 1
plane 1
point 1
points 1
poisoning 1
political 5
politicians 6
poor 1
position 1
precaution 1
presented 1
pretext 1
priest 1
prime 2
prince 2
protect 1
provide 1
purpose 1
quadroon 1
qualified 2
queen 20
quickly 1
quite 1
raaf 1
radioequipped 1
rainy 1
rate 1
rationing 1
reader 1
reality 2
recovers 1
recurring 1
reform 1
reforms 1
refueling 1
refuses 1
relax 1
repeatedly 1
republic 1
resumes 1
return 1
revered 2
right 1
robert 1
roger 1
rosemary 5
route 1
royal 7
royalist 1
safely 1
scene 1
scientist 1
scoring 1
sealed 1
searches 1
season 1
secrecy 1
secretary 2
seems 1
sees 1
sense 1
separate 1
seven 1
seventh 1
she 2
shifts 1
shocked 1
show 1
signal 1
sir 1
sister 1
situation 2
sixth 1
skilled 1
slowly 2
smoking 1
so 2
socialism 1
something 1
soon 2
spills 1
squalid 1
stands 1
state 1
states 1
statesmen 1
stevie 6
still 2
story 6
streamline 1
struck 1
struggles 1
subject 1
suggestion 1
summoned 1
swears 1
take 1
takes 2
team 1
technically 1
telling 1
tells 1
test 1
than 1
that 7
the 90
their 1
them 2
there 1
they 1
this 4
though 3
three 1
through 1
to 44
trained 1
transport 1
travel 1
tries 1
two 2
uk 1
ultimatum 1
uncomfortable 1
undergone 1
unselfconsciously 1
up 2
use 2
used 1
visit 1
vote 4
voteeveryone 1
votes 2
wales 1
watchword 1
weather 1
well 1
wet 1
what 2
when 2
which 4
while 1
whilst 1
whipping 1
who 6
will 4
winds 1
with 13
without 2
wives 1
woes 1
wrong 1
yet 1
yorkshire 2
