22796625
/m/0640zr4
/m/0640zr4
Stephen Baxter
2009-08-20
{"/m/03lrw": "Hard science fiction", "/m/06n90": "Science Fiction", "/m/05hgj": "Novel"}
111 1
160s 1
2030s 1
2031 1
2041 1
2042 1
205 1
2052 1
2061 1
2081 1
82 2
a 34
abandoned 1
above 1
abuse 1
act 1
active 1
adapt 1
addition 1
advanced 1
affluent 2
after 2
age 1
aged 1
aging 1
agreement 1
alcubierre 1
alive 2
all 4
alma 1
almost 1
alone 1
along 1
alonzo 2
also 2
although 3
america 1
an 3
and 60
andor 1
anew 1
another 1
antimatter 2
appear 1
approaching 1
arduous 1
are 9
area 2
ares 1
argent 1
arise 2
ark 15
armed 1
arrives 2
as 18
asimov 1
assist 1
astronaut 1
at 4
atlantic 1
attempt 2
away 1
axial 1
back 1
baxter 3
be 6
become 6
becomes 2
been 2
before 5
begin 1
behind 1
being 1
best 1
between 2
biosphere 1
birth 1
bisexual 1
blish 1
board 3
book 3
born 2
break 1
breed 1
breeding 1
brewing 1
brief 1
brooke 1
brutal 1
building 1
built 1
but 5
by 11
calculated 1
called 3
can 1
candidate 1
candidates 6
capable 2
capital 1
careful 1
causes 2
causing 1
celestial 1
centuries 1
chaotic 1
character 2
characters 2
children 5
christened 1
civil 1
civilians 1
civilization 3
climate 1
close 1
coasts 1
cold 1
colonists 1
colonization 1
colonize 1
colonizes 1
colony 1
colorado 2
come 1
command 1
commander 1
commits 1
components 1
conclusions 1
conditions 2
configuration 1
conjoined 1
consequently 1
consolidation 1
constellation 1
construct 1
continued 1
continues 1
continuity 1
contribute 1
control 3
cosmos 1
could 2
craft 3
create 1
crew 9
crisis 1
culture 1
daughter 2
day 1
dead 1
deals 1
debate 1
decades 1
decompression 1
defending 1
denver 2
departed 1
derived 2
descendants 3
designated 4
desperate 2
despite 1
destination 1
destruction 1
detect 1
deteriorating 1
developed 1
dexter 1
dictatorship 1
didnt 1
died 1
disappears 1
disembark 1
disillusioned 1
disorder 1
displaced 1
dissociative 1
diverse 2
do 2
don 2
done 1
drive 4
due 2
during 3
dwarf 2
each 2
earlier 3
earth 15
earthlike 2
ecliptic 1
ecosphere 1
educate 1
education 1
edward 1
effectively 1
eighty 1
either 1
elements 1
eliminate 1
elite 1
en 1
enclosed 1
energy 1
engineering 1
enough 2
ensuing 1
ensure 1
environment 1
environmental 1
eridani 2
escaping 1
estranged 1
evacuation 1
even 1
eventually 1
everest 1
excandidate 1
except 1
excluded 1
exhusband 1
exist 1
exosolar 1
expansive 1
experiment 1
experimental 1
explore 1
explosive 1
extension 1
extraterrestrial 1
extremes 1
face 1
facing 1
faction 1
failed 1
far 1
farfetched 1
fatal 1
father 2
federal 1
female 1
females 1
fiction 1
fictional 1
fields 1
finally 1
find 2
first 2
fission 1
flood 4
floods 1
floodwaters 4
fly 1
foot 1
for 18
forced 1
forces 1
forcibly 1
former 5
forming 2
forty 1
four 1
fragmented 1
fresh 1
friend 1
friendships 1
frigidly 1
fringe 1
from 17
function 1
functional 2
functions 1
funded 1
further 5
g5 1
ganglike 1
gene 1
generation 2
generational 1
genetic 1
geothermal 1
get 1
getaway 1
gifted 1
give 1
given 1
glemp 1
go 2
goodbye 1
gordo 3
government 1
grace 3
gray 1
grey 1
groundwater 1
habitable 3
had 2
halivah 2
halve 1
hardware 1
harm 1
harvested 1
has 8
have 7
he 4
heating 1
helen 4
help 1
helps 1
her 10
herself 1
high 1
highway 1
him 1
his 8
history 1
holle 5
holly 2
hope 1
however 2
hull 1
hulls 1
human 4
hurried 1
id 1
idea 2
identity 1
if 1
ii 3
iii 6
impossible 1
in 30
inadvertently 1
inbreeding 1
incident 1
inexorably 1
infighting 1
inflicts 1
influential 1
influx 1
inhabitants 1
initial 1
intellectually 1
intercepted 1
interference 1
interlopers 1
internally 1
interstate 1
interstellar 2
into 1
introduced 2
inundate 1
inundated 1
irradiation 1
is 32
isolated 1
it 6
its 8
james 1
jenning 1
jerzy 1
jones 2
jupiter 2
keep 1
keeping 1
keeps 1
kelly 4
kentucky 1
kenzie 2
kept 2
killed 1
knowledge 3
land 1
landing 2
large 1
last 3
later 2
launch 3
launched 1
leader 1
leadership 1
leads 1
led 1
left 4
legacy 1
lepus 1
levels 1
lies 1
life 7
light 1
lightyears 1
like 1
lily 1
linda 1
links 1
loss 1
lover 1
m6 1
made 1
magnetosphere 1
main 1
maintenance 1
majority 1
make 3
making 1
man 1
mankind 1
many 1
massive 1
material 1
may 1
meets 1
mel 2
melee 1
merely 1
military 2
millennia 1
millionaire 1
mind 1
mission 4
modified 1
moment 1
moon 1
more 1
most 4
mother 1
mount 1
must 1
mutiny 3
nasa 1
national 1
nature 1
navigator 1
near 1
nearest 1
neighboring 1
new 4
next 1
nimrod 2
nine 1
no 2
nonetheless 1
north 2
not 3
noted 1
novel 2
now 1
nuclear 2
number 2
observed 1
occurring 1
oceanographer 1
of 63
off 1
office 1
on 9
onboard 1
once 2
one 11
only 3
onset 1
openended 1
or 1
orbit 1
order 1
orders 1
origin 1
original 2
orion 1
other 4
our 1
out 4
outside 1
outward 1
over 3
overbearing 1
overlap 1
owing 1
own 2
pacific 1
painful 1
pantropy 1
parent 1
park 1
partake 1
partner 1
patrick 1
pendant 1
permanently 1
person 1
personalities 1
personnel 2
persons 1
pessimist 1
phases 1
photosynthetic 1
pivotal 1
place 1
plan 2
planet 4
planetary 4
planetfall 1
planets 2
planning 1
point 1
polish 1
pool 1
possible 1
postulated 1
potential 1
potentially 1
powered 1
powerful 1
preach 1
pregnant 1
preservation 1
president 1
principal 1
prior 1
problems 1
process 2
program 1
progress 1
project 5
prolonged 1
propel 1
proposes 1
propulsion 2
prospects 1
prosper 1
protagonist 1
proximity 1
psychological 1
published 1
purposes 1
question 3
race 1
rather 1
reached 1
ready 1
rebellious 1
rebuilding 1
rebuilt 1
recovering 1
red 2
reduced 1
regime 1
relative 1
relentless 1
reluctantly 1
remaining 1
remnants 1
repeated 1
required 1
resolve 1
resulting 1
results 2
returns 1
reunite 1
rise 2
risen 1
rising 2
risk 1
roads 1
rockets 1
route 1
rule 1
safe 1
saturn 1
science 1
scientific 1
sea 1
seafloor 1
seba 2
secularminded 1
security 1
see 1
seedling 1
seem 1
selected 2
selection 2
separatist 1
series 1
serves 1
set 1
seti 1
settlement 1
settlers 1
several 1
sexual 1
shatters 1
she 3
ship 11
shipboard 2
shipwide 1
shortly 1
shut 1
shuttle 3
shuttlebased 1
shy 1
side 1
signal 3
similar 1
simulated 1
since 2
site 1
situated 1
slowly 1
small 1
social 1
sol 1
solar 2
some 4
sometime 1
son 2
space 1
spacecraft 2
spaceflight 1
specialist 1
specialized 1
specializing 1
specific 1
specifically 1
speculated 1
split 1
stand 1
star 5
stars 1
starship 4
start 1
state 1
states 2
stories 1
storm 1
story 2
storyline 1
strong 1
struggling 1
submerged 2
succeeds 1
successful 1
successfully 1
successor 1
suggesting 1
suicide 1
suite 1
supercaldera 1
superearth 1
superluminal 1
supplies 1
support 3
surface 2
surrounding 1
survival 1
survive 1
survived 1
system 7
systems 2
take 1
takes 3
taps 1
targeted 1
technology 2
temperature 1
tensions 1
terms 1
terrestrial 1
thandie 2
that 12
the 133
their 3
them 1
theme 1
there 2
these 1
they 5
things 1
third 1
thirty 1
this 7
those 4
threats 1
three 1
through 2
thruster 1
tilt 1
time 3
to 62
too 1
tool 1
tragedies 1
training 1
travel 3
travels 1
trilogy 1
triumphs 1
try 1
turns 3
twentyone 1
twin 1
two 5
ultimately 1
under 3
underwater 1
unfortunately 1
united 2
unknown 1
unloved 1
unnamed 1
untainted 1
until 1
up 1
urania 1
uranus 1
use 2
used 2
using 3
utah 1
vasquez 1
venus 4
vital 1
volcanoes 1
voluntarily 1
war 1
warp 3
warpjumps 1
was 2
water 1
waters 1
way 1
weak 1
were 1
what 2
when 1
where 1
which 8
while 4
who 9
whom 1
will 1
wilson 5
with 15
within 1
world 4
worlds 1
worsened 2
wow 1
written 1
years 6
yellow 1
yellowstone 1
young 2
younger 2
youth 1
zane 7
