26516956
/m/06nn__j
/m/06nn__j
James Riley
1817
120 1
200 1
a 21
able 1
about 1
accept 1
acted 1
addressed 1
after 4
agent 1
agreed 2
agreement 1
aground 1
alike 1
all 2
already 1
also 2
amazingly 1
america 2
american 1
among 1
an 3
and 30
antonio 1
appeared 1
approached 1
arab 1
arabs 3
are 1
armed 1
arms 1
arrival 1
arrived 4
as 8
asked 1
assistant 1
at 6
away 2
back 2
be 1
beach 1
became 1
become 1
began 1
begging 1
begin 1
behind 1
boat 3
body 1
bring 1
british 1
brother 1
brothers 1
but 3
buy 2
by 6
came 1
camels 1
cape 1
captivity 1
captors 1
carry 1
carrying 1
cash 1
caused 2
chance 1
children 1
choice 1
city 5
cliffs 2
climbed 1
closest 1
come 1
communicate 1
connecticut 1
constantly 1
consul 3
convinced 1
could 3
crew 7
day 2
days 3
death 2
decided 1
degree 1
described 1
desert 5
desire 1
determine 1
did 1
different 1
digging 1
dispute 1
distance 1
distract 1
do 1
dollars 1
dragged 1
during 2
edge 1
either 1
encounter 1
enduring 1
escape 1
especially 1
essaouira 1
eventually 1
everyone 1
exactly 1
exchange 1
expanse 1
explained 1
face 1
fatherinlaw 1
fear 2
feelings 1
fellow 1
few 1
fight 1
filling 1
first 1
five 1
flat 1
food 3
for 11
former 2
found 1
freezing 1
friend 2
friendly 1
friends 1
further 1
gathering 1
gave 1
give 1
greeted 1
group 1
groups 1
guilt 1
gun 1
had 2
hamet 6
happened 1
he 15
heard 1
heat 1
helped 1
high 1
him 6
himself 2
his 22
home 1
hope 1
hoping 2
horizon 1
how 1
hugs 1
hundred 2
hundreds 1
hunter 1
if 3
impressed 1
in 15
incomplete 1
inland 1
into 2
is 1
islands 1
isolated 1
it 2
join 1
joined 1
just 2
keep 1
killed 1
kind 1
knew 1
landing 1
language 1
large 1
later 1
leaky 1
learned 1
left 1
life 1
little 2
loaded 1
look 1
lying 1
made 1
make 1
man 2
marauders 1
marauding 1
master 3
masters 1
meager 1
meet 1
member 1
members 1
memoirs 1
men 8
merchant 1
met 1
michele 3
miles 3
missing 2
mogador 1
money 1
moved 1
native 1
night 1
nine 1
no 1
nobody 1
north 1
not 1
note 6
now 2
of 19
off 1
offer 1
offered 1
on 1
one 2
or 1
others 1
out 7
outside 1
outskirts 1
own 1
pay 4
perfect 1
point 1
probably 1
promised 3
quickly 1
ran 1
rather 1
reach 1
reached 1
realization 1
recounts 1
remaining 1
repairs 2
rescue 3
resolved 1
return 2
returned 3
reunited 1
riley 19
rode 1
rudimentary 1
safe 2
sail 1
save 1
seeking 1
sent 1
separated 1
servitude 1
seti 3
settle 1
several 2
ship 3
shipmates 1
shore 3
should 1
sincerity 1
situation 1
slave 1
slaveowners 1
slaves 2
slit 1
some 2
soon 1
south 2
spear 1
spears 1
spent 1
stabbed 1
staring 1
started 2
starving 1
states 1
stayed 2
still 1
stomach 1
stoned 1
stranger 1
suffer 1
supplies 1
surrounded 1
swam 1
taken 1
tears 1
temperatures 1
terrified 1
terrifying 1
than 1
that 5
the 52
their 7
them 5
themselves 2
then 1
there 2
they 17
this 2
throat 1
through 1
time 1
to 41
together 1
told 2
took 1
top 1
totally 1
town 2
trade 1
traveled 1
traveling 1
tremendous 1
tribe 3
tribes 1
trying 1
turns 1
two 4
unable 1
unfinished 1
untrue 1
unusable 1
up 1
upon 2
vast 1
verde 1
waited 1
walk 1
was 17
watch 1
water 5
way 1
ways 1
went 2
were 7
what 3
when 4
which 9
while 3
who 8
wife 1
william 1
willshire 2
with 8
without 2
word 1
worked 1
would 6
write 2
young 1
