155311
/m/014bqn
/m/014bqn
Leo Tolstoy
1869
140000 1
1805 1
18112 1
1812 1
1813 1
1820 1
400000 1
a 58
abandon 1
abandoned 2
abandons 1
abdomen 1
abhorrence 1
abide 1
abortion 1
about 3
abroad 2
accede 1
accepts 1
accompanied 1
accomplish 1
achieves 1
act 1
action 1
actions 2
actual 1
actually 1
adolescent 1
adolf 1
affair 3
affected 1
affectionate 1
after 12
afterlife 1
again 1
against 2
age 1
aidedecamp 1
alexander 2
alexandrovna 1
alive 1
all 7
allow 2
allowing 1
almost 2
also 5
although 1
ambitions 1
ambitious 1
ammunition 1
among 1
amongst 1
amoral 1
an 17
analysis 1
anatol 8
ancient 1
and 92
andrei 22
andreyevich 3
anew 1
anna 2
anonymous 1
antichrist 1
any 1
apparently 1
appears 1
arbitrarily 1
are 18
argue 1
argues 2
aristocrat 1
aristocratic 2
aristocrats 1
armies 1
army 12
around 1
artillery 2
as 13
ashamed 1
assassinate 1
assassination 1
assumption 1
at 14
attempt 1
attempted 1
attempts 1
attending 1
attitudes 1
attracted 4
austerlitz 1
available 1
aware 1
awkward 1
bachelor 1
back 2
baffles 1
bald 3
ball 1
bankruptcy 1
based 2
battle 5
battlefield 1
be 5
beautiful 2
because 1
become 2
becomes 4
been 3
before 3
befriends 1
begin 1
begins 4
begs 1
behavior 3
being 6
believes 2
benevolent 1
bereavement 1
berg 1
better 3
between 3
bezukhov 2
biscuit 1
blossomed 1
bolkonskaya 2
bolkonsky 6
bolkonskys 2
bond 1
book 4
boris 1
borodino 3
both 5
boyish 1
breaking 2
briefly 2
brings 1
brother 3
brought 1
bumbling 1
buoyed 1
burdened 1
burn 1
burning 1
but 15
by 22
calculus 1
can 1
capital 1
cared 1
carefree 1
carrying 1
carts 1
cast 1
casualties 1
casualty 1
cathedral 1
caught 1
centered 1
challenges 1
chaos 1
chapters 1
character 1
characters 3
charge 2
charisma 1
charm 1
charming 2
child 2
childbirth 1
childhood 1
children 3
choice 1
chooses 1
citizens 1
city 3
civilians 1
claim 1
clear 1
close 2
closing 1
clothes 1
codify 1
cold 1
coldly 1
comet 1
coming 2
compares 1
concerned 1
concerns 1
concludes 1
confidante 1
conflicts 1
confrontation 1
confuses 1
confusion 1
conscience 1
consciousness 1
conscripted 1
conspire 1
contains 1
continually 1
contradictory 1
contrasted 1
contrasting 1
convinced 3
convinces 3
count 6
countess 1
country 1
countryside 1
counts 1
couple 1
couplespierre 1
cousin 1
crew 1
critique 1
customary 1
dark 1
daughter 1
day 1
dead 2
death 5
debtridden 1
debts 1
decembrist 2
decides 1
deciding 1
deeply 1
delay 1
demeanor 1
denies 1
denisov 3
depart 1
departs 1
depicted 1
described 1
descriptions 1
despite 2
destruction 1
detail 2
determined 1
devoted 1
devoutly 1
dies 3
difficult 2
disarray 1
disastrous 1
disciplined 1
discovering 1
discovers 2
disillusioned 1
disillusionment 1
dislikes 1
disordered 1
disorganization 1
distraught 1
dmitrich 1
do 1
does 3
doing 1
dolokhov 4
down 1
dowryless 1
draws 1
dressing 1
driven 1
drubetskoy 1
due 1
duel 1
dueller 1
during 5
duties 1
dying 4
eager 1
eccentric 1
educated 1
either 2
elderly 1
eldest 2
elena 1
eligible 1
elope 2
embroiled 2
emperor 1
empire 1
empty 1
end 2
ends 1
engagement 3
enlist 1
ensign 1
enter 1
enters 1
epilogue 3
equally 1
era 1
especially 1
essentially 1
establishes 1
establishing 1
estate 6
estranged 1
ethically 1
euphemism 1
even 3
event 1
eventful 1
events 5
eventually 1
everyone 2
excitement 1
excursion 1
existing 1
expecting 1
expense 1
experiences 1
explainable 1
explicitly 1
expression 1
face 2
facing 1
faith 2
fallen 1
falls 1
families 3
family 11
fatal 1
fateful 1
father 5
favorite 1
favourite 1
feels 1
fellow 1
feodorovna 1
feverplagued 1
fifteenyearold 1
fight 2
figures 1
finally 6
finances 1
financial 3
find 2
finding 1
finds 6
first 5
firsthand 1
fit 1
five 1
flee 1
fleeing 2
foils 1
following 1
for 14
force 1
forced 1
forever 1
forgiveness 1
forgives 1
former 5
forms 1
fortune 1
fought 1
found 1
four 1
freed 1
freemason 1
freemasons 1
freewill 2
french 8
frenchpierre 1
frenchspeaking 1
friend 3
friends 1
from 13
full 1
fyodor 1
gambles 1
garb 1
gematria 1
gets 1
girl 1
given 2
gives 1
glory 1
go 1
god 1
goes 1
good 3
grand 3
great 4
grenade 1
grievous 1
growing 1
guilt 1
guilty 1
happy 1
harsh 1
has 13
haughty 1
haunted 1
have 5
having 2
he 38
heads 1
help 4
her 21
hero 1
heroes 1
herself 2
hideous 1
highly 1
hills 3
him 10
himself 8
hint 1
his 59
historians 1
historical 5
history 1
hlne 9
home 3
honest 1
honour 1
horrified 1
horseback 1
hospital 1
hostess 1
how 3
however 3
husband 1
hussars 1
i 1
icons 1
idea 1
idealistic 1
if 1
ilarionovich 1
ill 1
illegitimate 2
ilya 2
ilyich 2
ilyinichna 2
immoral 2
impelled 1
impending 1
imperfect 1
impetuous 1
impetuousness 1
impossible 1
in 68
incapable 1
incestuous 1
incipient 1
individuals 2
infinitesimals 1
influence 1
influential 1
inherently 1
inheritance 2
initially 2
injuries 1
insists 1
inspired 1
instructions 1
insults 1
integrate 1
integrity 1
intelligent 2
interacting 1
interactions 1
interested 1
internal 1
into 4
introduced 3
invasion 2
inverse 1
invincible 1
involved 2
is 57
it 7
its 2
ivanovich 1
join 3
joins 1
jubilation 1
judgment 1
july 1
karataev 4
