23248861
/m/065znyl
/m/065znyl
Desmond Bagley
1969
a 1
an 3
and 1
as 2
at 1
attempt 1
bigtime 1
but 1
called 1
cant 1
capture 1
confidence 1
daughter 1
declares 1
dollars 1
dope 1
down 1
drug 2
east 1
expedition 1
expense 1
film 1
for 1
he 1
hellier 1
heroin 2
his 1
hundred 1
in 3
into 1
inveigle 1
is 2
london 1
loses 1
make 1
md 1
methods 1
middle 1
million 1
must 1
nicholas 1
no 1
of 1
offer 1
on 1
organise 1
peddlers 1
plans 1
poilers 1
prey 1
refuse 1
robert 1
runners 1
ruthless 1
sir 1
spared 1
specialist 1
stake 1
the 5
their 3
them 1
themselves 1
they 1
to 4
track 1
treatment 1
tycoon 1
use 1
war 1
warren 1
when 1
with 1
worth 1
