28928563
/m/0dgrw_6
/m/0dgrw_6
Robert Henriques
1950

a 3
abroad 1
alex 1
and 5
another 1
appears 1
are 1
around 1
at 1
be 1
becomes 1
between 1
boys 1
but 1
by 1
character 1
clambering 1
comes 1
david 2
decline 1
distant 1
driver 1
end 1
estate 1
falls 1
fault 1
first 1
footman 1
frank 2
friction 1
geoff 1
go 1
gradual 1
grows 1
his 1
hunt 1
in 4
into 1
is 2
it 1
loves 1
major 2
marries 1
marry 1
may 1
mirrors 1
miss 1
neapcaster 1
night 1
novel 1
of 3
one 1
only 1
over 1
park 2
part 1
ralph 3
relative 1
rise 1
roof 1
runs 1
same 1
scene 1
second 1
seduced 1
servants 1
set 1
she 2
story 1
subsequently 1
taxi 1
that 1
the 14
they 2
three 1
through 1
to 1
united 1
up 1
world 1
