6347846
/m/0g22_5
/m/0g22_5
Wolfgang Hohlbein
1982
a 5
after 1
an 1
and 5
answer 1
appendicectomy 1
as 1
average 1
boraas 1
but 1
captured 1
coma 1
copy 1
creatures 1
dangerous 1
dark 2
daydreaming 1
disguise 1
dream 1
dreams 1
enchantment 1
end 1
eternal 1
everonward 1
fallen 1
fantastical 1
fight 1
fighter 1
find 1
fly 1
forests 1
free 1
from 3
german 1
has 2
hates 1
he 1
her 4
him 2
himself 3
his 4
inform 1
into 4
is 2
journey 1
kim 3
land 1
latest 1
lies 1
life 1
little 1
loves 1
magic 3
math 1
monsters 1
moon 3
mountains 1
must 2
mysterious 1
next 1
nightmare 1
of 5
one 1
only 2
out 1
parents 1
pulls 1
read 1
realm 1
rebecca 2
save 1
saving 1
schoolboy 1
sister 1
sleep 1
so 1
soul 1
spaceship 1
spirals 1
star 1
tells 1
that 2
the 9
themistocles 1
there 1
through 1
to 5
travel 1
visitor 1
warrior 1
way 1
when 1
where 1
who 2
within 1
wizard 2
world 1
