10078799
/m/02q13ft
/m/02q13ft
MaryJanice Davidson
2006-11-28
2 1
a 6
abrasive 1
affection 1
although 1
and 4
aquarium 2
are 1
arrives 1
artur 2
at 2
attitude 1
be 1
best 1
biological 1
biologist 1
black 1
boston 2
but 1
by 2
careless 1
caused 1
despite 1
developers 1
discover 1
dismissive 1
employee 1
enlists 1
family 1
father 1
fish 1
for 1
fred 3
friend 1
from 1
harbour 1
has 1
help 1
her 4
human 1
in 4
increased 1
investigate 1
is 6
it 1
jonas 1
knows 1
land 1
legs 1
manners 1
marine 1
mermaid 1
merman 2
mother 1
new 1
of 1
on 1
one 1
only 1
outside 1
pollution 1
prince 2
problem 1
rivals 1
romance 1
sea 1
secret 1
seen 1
sewage 1
she 3
swimming 1
tank 1
the 10
they 1
thomas 3
thoughttobegay 1
to 3
until 1
waste 1
water 1
who 1
working 1
