18857515
/m/04gr5kt
/m/04gr5kt
David Bodanis
2006-10
{"/m/05hgj": "Novel"}
1706 1
174 1
a 3
an 1
and 7
back 1
because 1
book 3
books 1
briefly 1
but 1
calculations 1
child 1
chtelet 1
complete 1
considered 1
du 1
enough 1
fears 1
final 1
finish 1
flash 1
forward 1
has 1
have 1
her 4
in 4
introduced 1
is 6
it 1
jumps 1
june 1
lives 1
love 1
met 1
milie 3
not 2
of 4
old 1
parents 1
pregnancy 1
reading 1
she 4
stages 1
starts 1
struggling 1
ten 1
that 1
the 6
then 1
theories 1
thesis 1
time 2
to 4
unusual 1
voltaire 1
which 1
will 1
with 2
year 2
years 1
yet 1
younger 1
