636559
/m/02z6zg
/m/02z6zg
Iain Banks
1985-03-07
a 10
admiral 1
ago 1
ajayi 1
all 1
also 1
an 4
and 3
any 1
apart 1
apparent 1
appear 1
are 1
at 2
be 2
become 1
believes 2
bequest 1
between 1
blackleathered 1
bob 1
body 1
can 1
castle 2
chance 1
clues 1
constant 1
criminals 1
divided 1
doors 1
each 1
earthman 1
ending 1
eventually 1
ffitch 1
fiction 1
find 1
first 1
flavour 1
force 1
forced 1
friend 1
from 5
galactic 2
games 1
get 1
girl 1
glass 1
going 1
good 1
graham 2
grout 1
gun 1
had 1
happens 1
happiness 1
has 1
he 6
himself 1
his 1
ideas 1
identity 1
if 1
image 1
immovable 1
impossible 1
imprisoned 2
in 5
incest 1
independent 1
into 1
is 7
key 1
last 1
links 1
location 1
long 1
lots 1
love 1
macho 1
man 1
meets 1
met 1
microwave 1
might 1
nemesis 1
neverproperlyseen 1
object 1
of 12
on 1
one 1
opposing 1
or 1
other 1
out 1
pair 1
paranoid 1
park 1
part 1
party 1
play 1
quiss 1
reads 1
realised 1
richard 1
riddle 1
roadmender 1
sara 1
science 1
sections 1
seems 1
sides 1
sight 1
since 1
slater 1
solve 1
some 1
stands 1
steven 1
stock 1
stories 1
storylines 1
that 3
the 13
there 1
they 1
threat 1
three 2
to 5
type 1
under 1
unstoppable 1
until 1
walking 1
war 3
was 2
way 2
what 1
when 1
whereabouts 1
which 1
who 2
with 1
writing 1
young 1
