1414732
/m/04_mmw
/m/04_mmw
Steven Erikson
2002-12-02
14th 1
1500 1
30000 1
50000 1
7th 1
a 6
across 2
adjunct 1
advance 1
after 1
all 3
and 7
apsalar 1
arising 1
army 3
arrived 1
as 1
assassin 1
at 1
become 1
before 1
beginning 1
bought 1
camp 1
can 1
certain 1
chain 2
chains 1
cities 2
civilians 1
coltaine 1
commander 1
conflicts 1
consisting 1
control 1
cowing 1
crokus 1
deadhouse 1
death 1
descends 1
desert 1
desperate 1
destroy 2
destruction 1
dogs 2
drawn 1
ended 1
entire 1
evacuation 1
even 1
events 1
fastness 1
finally 1
find 1
foe 1
for 3
forces 1
from 2
gates 1
genabackis 1
has 3
head 1
heart 2
her 2
heroic 1
his 1
holy 1
hostile 1
house 1
however 2
immediately 1
in 3
internal 1
into 2
is 3
its 2
journey 1
karsa 1
known 1
largely 1
legend 2
live 1
lives 1
loss 1
malazan 1
malazans 2
meanwhile 2
mighty 1
miles 1
mission 1
mountain 1
named 2
nearly 1
new 1
news 1
not 1
now 1
of 16
on 2
once 1
orlong 1
outnumber 1
paran 1
place 1
raraku 1
rebellion 1
rebels 1
recruits 1
refugees 1
rescued 1
responsible 1
sacrifice 1
sengar 1
seven 2
shadow 1
shaik 2
spreading 1
struggle 1
subcontinent 1
takes 1
tavore 1
terrible 1
territory 1
that 1
the 21
their 2
themselves 1
thief 1
those 1
threatens 1
throne 1
to 3
tragic 1
trouble 1
trull 1
untried 1
vastly 1
very 1
warrior 2
was 1
well 1
whirlwind 1
will 1
with 2
world 1
