27721834
/m/0cc8x17
/m/0cc8x17
Susan Price
2001-01-18
a 7
abbess 2
abbot 1
about 2
afraid 1
after 1
against 1
aged 1
agree 1
agrees 1
allowed 1
allows 1
almost 1
ancestor 2
and 20
are 5
arriving 1
as 4
at 4
back 1
bad 1
bathes 1
be 2
beautiful 2
because 1
been 1
begins 1
begs 1
being 1
believes 1
big 1
bloodred 1
boring 1
breaks 1
bright 1
business 1
but 1
by 3
cannot 1
capable 1
changes 1
chores 1
christian 1
christians 1
colours 1
commands 1
country 1
court 3
creatures 1
dark 1
darkhaired 1
day 1
deadly 1
degrading 1
desperately 1
despite 2
dining 1
direction 1
disapproval 1
disgracing 1
do 1
doing 1
drive 1
during 1
egwin 4
emerge 1
enjoy 1
enough 1
everybody 1
excellent 1
excluded 1
eyes 1
famed 1
family 1
fervently 1
find 1
finishes 1
fit 1
food 2
for 1
foreigners 2
fortunately 1
from 1
gifted 1
go 1
gods 2
good 1
granted 1
guthlac 3
hall 1
hardships 1
has 4
hates 1
he 14
healthy 1
heard 1
help 1
helping 1
him 7
himself 2
his 13
housecarls 2
how 1
in 4
including 1
informs 1
instructed 1
into 1
invading 1
is 3
it 1
journeys 1
kenelm 8
kept 1
king 3
knew 1
laying 1
leading 1
leave 3
leaves 1
life 1
lips 1
longs 1
lost 1
low 1
makes 1
man 1
men 1
menial 1
misery 1
monastery 4
monk 2
month 1
murderous 1
naked 1
name 1
never 1
nobody 1
norse 2
notices 1
of 9
off 1
old 2
only 1
or 1
overjoyed 1
own 1
persuasion 1
plague 2
powerful 1
pray 2
prayer 1
prayers 2
prays 1
privately 1
promise 1
queen 1
realises 1
related 1
requested 1
resents 1
return 1
revealing 1
serve 1
sharp 1
she 1
singing 1
so 2
some 1
spirits 1
stand 1
still 1
storytelling 1
strong 1
suffered 1
summons 1
swears 1
swept 1
tale 1
talking 1
taught 1
teeth 1
tell 1
telling 1
tells 1
ten 1
that 11
the 28
them 3
then 1
there 2
they 4
this 1
though 1
three 2
through 1
time 1
times 1
to 17
trees 1
trio 1
twig 1
uncle 3
under 1
until 1
upon 1
very 1
visits 1
warriors 1
was 2
ways 1
when 1
where 1
white 1
who 2
will 1
with 2
without 2
woden 5
women 3
wood 1
woods 2
years 1
young 3
