11379326
/m/02r9j_g
/m/02r9j_g
Scott Oden
2005
526 1
a 11
across 1
again 1
ancient 1
and 12
anger 1
antiquity 1
arabian 1
aristocracy 1
armies 1
as 3
barca 8
battle 1
bc 1
becomes 1
blood 1
bloodiest 1
bound 1
but 1
by 2
called 1
can 2
carrion 1
catandmouse 1
caught 1
celebrated 1
changes 1
choice 1
cities 1
conflict 1
countless 1
crushed 1
culminating 1
darkhaired 1
day 1
dead 1
deadliest 1
death 1
decay 1
defects 1
demigod 1
deserts 1
desperate 1
drawn 1
dusty 1
duty 1
dying 1
each 1
east 2
egypt 2
egypts 2
empire 1
eternal 1
expanse 1
face 1
fame 1
fate 1
fathom 1
fearsome 1
few 1
fewer 1
fight 1
final 1
forces 1
from 1
game 2
gender 1
generals 1
gifts 1
greek 1
hands 1
hasdrabal 3
have 1
healer 1
heals 1
her 5
heroes 1
hills 1
him 1
his 2
history 1
honor 1
house 1
human 1
humanity 2
in 4
infects 1
is 6
it 3
its 4
jackals 1
jauharah 1
killer 1
king 1
last 1
leading 1
life 2
like 1
limit 1
long 1
love 1
man 1
memphis 1
men 1
mercenary 1
midst 1
most 1
motivated 1
much 1
nations 1
nevertheless 1
nile 1
now 1
obscurity 1
of 21
old 1
once 1
one 1
or 1
over 1
overshadow 1
own 1
palestine 1
pelusium 1
persia 1
persians 1
phanes 2
pharaohs 2
play 1
political 1
possessed 1
preserve 2
proud 1
rage 1
reckoning 1
remains 1
riddles 1
same 1
savage 1
searing 1
set 1
she 1
sinai 1
skills 1
slave 1
sliver 1
soul 1
spirit 1
station 1
streets 1
struggles 1
tax 1
tend 1
that 2
the 23
there 1
this 1
though 1
to 10
triggers 1
two 1
unfold 1
violence 1
wait 1
war 2
wasteland 1
watch 1
weakens 1
weight 1
when 1
while 1
will 2
with 1
withstand 1
wounds 1
