16987881
/m/0414mxp
/m/0414mxp
George Sand
1837
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
a 11
after 1
age 1
also 1
american 1
and 6
as 4
beast 1
beauty 1
becomes 1
becoming 1
been 1
before 1
begins 1
bernard 5
between 1
black 1
brutalized 1
but 1
by 5
called 1
calls 1
captive 1
characters 1
coming 1
country 1
courtship 2
cousin 1
death 1
depicts 2
described 1
domesticity 1
during 2
edme 2
education 2
elicits 1
ending 1
ends 1
enfant 1
equality 1
escape 1
fairy 1
family 1
favor 1
female 3
feudal 1
figure 1
for 1
french 1
from 1
gang 1
gradual 1
gradually 1
happy 1
has 1
he 2
held 1
helps 1
her 2
hero 1
heroine 1
his 5
home 2
how 2
however 1
ideal 1
immediate 1
in 10
including 1
interested 1
into 1
is 4
kinsmen 1
later 1
leroux 1
literary 1
live 1
long 1
main 1
male 1
many 1
marriage 3
mauprat 3
mile 1
more 2
mother 1
named 1
nameless 1
namely 1
narrated 1
new 1
nobleman 1
novel 7
of 16
old 1
one 1
part 1
passive 1
patience 1
peacefully 1
peasant 1
period 1
pierre 1
place 1
plot 2
political 1
problem 1
promise 1
question 1
raised 1
rape 1
reappraisal 1
recounts 1
red 1
resembles 1
resists 1
revolution 1
revolutionary 1
role 1
romance 1
rousseau 1
sand 3
sauvage 1
set 1
she 1
similar 1
socialist 1
socialization 1
society 2
stendhal 1
story 2
such 1
suggest 1
takes 1
tale 1
taught 1
the 29
thinkers 1
this 1
threatening 1
thus 1
to 3
told 1
training 1
trial 1
two 1
type 1
version 1
views 1
violent 1
visionary 1
visitor 1
war 1
was 1
when 1
which 1
with 1
women 1
would 1
wrote 1
years 1
young 1
