22203984
/m/05q53g_
/m/05q53g_
Jacqueline Wilson
2003
10 1
a 9
about 1
adopted 3
affair 1
afterwards 1
again 1
agrees 1
although 1
an 1
and 21
another 1
answer 1
anyone 1
anyway 1
apologetic 1
around 1
as 1
asks 4
at 1
attic 4
author 1
away 2
bats 1
be 3
because 2
become 3
before 1
begin 1
better 2
blind 1
both 1
brother 3
buff 1
but 3
by 1
calls 1
can 2
caspar 4
ceiling 1
chooses 1
christmas 1
closer 1
come 1
comes 1
confronts 1
consequently 1
controlling 1
could 1
dare 2
dares 1
designed 1
despite 1
died 1
discovered 1
dream 4
dreamy 1
earshot 1
empty 1
eventually 1
experience 1
fact 1
fails 1
fairies 2
father 1
favourite 1
filled 1
finds 4
first 1
for 3
forces 1
forgives 1
friend 2
friends 1
frightens 1
from 1
fun 1
game 2
get 1
girl 2
goes 1
had 1
hanging 1
has 2
hates 1
have 2
he 6
help 1
her 16
him 2
himself 1
home 1
homework 1
house 2
if 2
in 4
invites 1
is 7
it 1
jasmine 10
just 1
kissing 1
later 1
leaves 1
less 1
let 1
likes 1
lives 1
love 1
loves 1
make 1
makes 1
man 1
minutes 1
mother 1
much 2
named 1
new 1
night 1
not 3
of 3
often 1
old 2
one 2
or 2
order 1
out 2
over 1
own 1
parents 2
play 3
played 1
plays 1
pretty 1
question 1
rarely 1
realising 1
reclusive 1
regretful 1
reluctantly 1
replace 1
reply 1
resolution 1
returns 1
rich 1
runs 1
same 1
says 1
scary 1
school 1
see 2
she 15
since 1
so 1
sometimes 1
soon 2
spend 1
sure 1
surprise 1
tell 1
than 1
that 4
the 11
then 1
there 1
they 4
things 1
thrilled 1
to 13
tried 1
truly 1
truth 3
up 1
used 1
very 1
violet 19
wants 2
was 3
when 4
where 1
while 1
who 4
will 19
with 8
within 1
work 1
world 1
would 1
year 1
