10875845
/m/02qssp6
/m/02qssp6
Julia Golding
2006-01-02
13yearold 1
18th 1
2 1
a 9
about 1
accused 1
actually 2
african 1
after 2
against 1
also 2
although 1
an 2
and 10
apprentice 1
are 1
aristocratic 1
arrested 2
arrives 1
arrogant 1
art 1
as 4
assumes 1
avon 1
baby 1
be 4
because 1
befriends 1
billy 1
boil 2
boy 1
breaks 1
but 3
by 1
captain 1
capture 1
cartoons 2
cat 11
catherine 1
cats 1
century 1
children 1
colleague 1
controversial 1
diamond 8
discussing 1
elizabeth 2
end 1
enemy 1
england 3
evade 1
eventually 1
everyone 1
family 1
for 7
found 1
francis 1
gang 2
gets 1
girl 1
had 2
having 1
he 3
her 4
hidden 1
him 1
his 3
however 1
in 4
into 1
intrigued 1
is 10
it 5
its 2
johnny 7
king 1
knows 1
lady 2
later 1
learns 3
led 1
lives 1
lord 1
manage 1
marchmont 1
meets 2
member 1
metaphorical 1
money 3
mr 4
musicians 1
mysterious 1
named 2
new 1
night 1
no 1
nor 1
not 2
nothing 1
of 7
one 1
orphaned 1
other 1
out 2
overhears 1
owner 1
past 2
pedro 2
people 1
political 1
promises 1
prompt 1
prompter 1
protect 1
rather 1
real 3
reunited 1
reward 1
romantic 1
royal 3
safe 1
she 4
shepherd 1
sheridan 4
smuggling 1
sparkler 1
specifically 1
steal 1
stealing 1
stole 1
street 1
supposed 1
surroundings 1
talent 1
tells 1
that 4
the 23
theatre 8
there 1
to 5
treason 1
true 1
unmistakable 1
valuable 1
value 1
violinist 1
was 2
wealthy 1
well 1
where 1
who 3
will 1
with 3
without 1
would 1
