6940376
/m/0gy179
/m/0gy179
Anne Bishop
2006-02-07
15 1
15yearold 1
a 9
abilities 1
ability 1
about 1
actions 1
an 1
and 9
another 1
any 1
appeal 1
appears 1
around 1
arrival 1
attempt 1
bastard 1
begins 1
being 1
belladonna 1
boy 1
brings 1
but 1
by 1
called 1
can 1
carnal 1
carnival 1
catalyst 1
change 1
child 1
city 1
cousin 2
create 1
creates 1
day 1
declared 1
deeply 1
delivered 1
demons 3
den 5
drinking 1
easy 1
embedded 1
entertain 1
even 1
every 1
fail 1
filled 1
finding 1
first 2
flee 1
for 2
forced 1
foremost 1
form 1
friend 1
gambling 1
garden 1
glorianna 1
has 3
having 1
he 7
heart 1
her 8
him 1
his 4
holds 1
home 2
ignorant 1
in 3
incubus 3
iniquity 2
interesting 1
into 2
is 4
it 2
known 1
koltak 1
landscape 2
landscapers 1
life 3
live 1
lives 1
living 1
lock 1
longer 2
love 1
lynnea 1
made 2
meanwhile 1
need 1
never 1
no 2
not 1
of 6
old 1
one 1
opportunity 1
or 1
own 1
prostitution 1
prowled 1
question 1
responds 1
rogue 1
sacrifices 1
sebastian 2
settled 1
sex 1
she 3
shocked 1
simply 2
strong 1
stumbled 1
succubus 1
teaser 1
the 13
their 1
themselves 1
then 1
this 1
tire 1
to 6
town 1
until 1
using 1
was 1
when 2
where 1
whose 1
wish 2
with 2
within 1
wizard 1
wizards 2
women 1
year 1
yearns 1
