18474334
/m/04f341r
/m/04f341r
Caroline Lawrence
2007
a 27
abashed 1
acquitted 1
admit 1
against 4
age 1
agents 1
all 2
allowed 1
ally 1
aloud 1
also 2
an 1
and 23
angrily 1
anyone 1
appears 1
apprenticeship 1
approached 1
are 1
army 1
artorius 1
as 4
asks 1
aspiring 1
at 5
away 1
barely 1
basilica 1
bato 2
be 2
because 1
been 3
before 2
believes 1
better 1
birth 1
bodies 1
both 2
bring 1
brings 1
built 1
but 10
by 7
case 2
causes 1
celer 18
changed 1
charges 1
childbirth 1
children 5
citizens 1
claim 1
claims 1
clue 1
coil 1
comes 1
completed 1
confesses 1
confirm 1
confirmed 2
copy 1
cost 1
court 2
cut 1
day 2
decurion 1
decurions 1
deliver 1
demonstrates 1
didnt 1
die 1
died 2
dies 1
digging 1
dirt 1
discourage 1
dives 16
do 1
does 1
during 2
elder 1
eliminate 1
else 1
elsewhere 1
ends 1
estate 6
even 2
every 1
everything 1
evidence 1
except 1
exchange 2
explains 1
family 2
father 2
fifteen 1
finale 1
find 2
fire 1
first 3
five 1
flaccus 8
flavia 4
floppy 1
for 5
forced 2
forged 1
formerly 1
fortune 1
fortunehunters 1
forward 1
free 3
freedman 2
freedmen 1
freedom 2
friend 4
friends 1
from 5
full 1
gaius 1
gallery 1
girlhood 1
gives 1
giving 1
go 2
great 1
had 5
hang 1
happened 1
has 2
hated 1
have 7
having 1
he 7
heir 1
heirs 1
help 2
helping 1
hepzibah 14
her 8
hiding 1
him 4
himself 1
his 10
however 1
impressed 1
in 15
including 3
income 1
insincere 1
insists 1
into 1
investigating 1
is 21
it 3
jerusalem 3
jewish 1
jonathan 4
just 1
keeping 1
killed 4
killer 1
kisses 1
knew 1
landowner 1
large 1
later 1
law 1
lawyer 1
leaves 1
left 4
lefthanded 3
legally 1
legendary 1
legions 1
life 2
likely 1
local 1
long 1
looted 1
lupus 3
magistrate 1
make 1
man 1
managed 1
manumission 1
manumitted 1
marcus 1
marry 1
masada 1
may 1
member 1
men 2
mercutor 2
middle 1
might 1
mind 1
miriam 3
mockery 1
money 1
moreover 1
most 1
motive 2
murder 3
murdered 1
murderer 1
murders 1
must 2
names 1
natural 1
never 1
no 1
nonius 1
not 5
note 1
nothing 1
novel 1
now 1
nubia 3
of 20
off 1
offers 2
old 2
on 5
one 3
only 1
or 1
oration 1
orator 1
ostia 1
other 3
out 2
overjoyed 1
own 2
owned 1
papillio 3
part 1
pittance 1
pliny 1
points 1
polished 1
portion 2
possible 1
present 1
promised 1
proof 2
prove 1
quickly 1
quintilian 3
rallies 1
ran 1
reads 1
real 5
realizes 2
really 1
received 1
reference 1
rehearsed 1
relic 1
represented 1
requires 1
retains 1
revealed 2
revolt 1
riveting 1
roman 2
rome 1
rope 1
sacked 1
saved 1
say 1
says 2
screaming 1
search 1
second 1
selfishly 1
series 1
serious 1
serve 1
set 2
seven 5
several 1
she 9
show 1
siege 1
silenced 1
similarly 1
since 1
sister 1
six 1
sizable 2
slander 1
slave 1
smooth 1
so 2
socalled 1
soldier 1
solution 1
solves 1
someone 1
sons 1
speech 2
started 1
step 1
strong 1
suit 1
sum 1
surrounded 1
survivors 1
suspected 2
sword 2
sycophants 1
synagogue 1
temple 2
testimony 1
than 1
that 19
the 55
their 2
them 1
then 4
theory 1
there 1
they 4
things 1
this 2
to 32
town 3
tragic 1
trapped 2
trial 1
tried 2
trouble 1
true 1
turn 1
twin 1
two 2
under 1
unfamiliar 1
unfamiliarity 1
up 1
upset 1
using 1
usufruct 1
valerius 1
victims 2
view 1
wanted 1
was 6
wealthy 1
well 1
were 4
what 1
when 4
which 4
while 2
whisper 1
whispers 1
who 2
will 9
with 4
withdraws 1
witness 1
witnesses 5
woman 1
worse 1
would 1
wounds 1
