5090172
/m/0d271n
/m/0d271n
Arthur Ransome
1941
{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
a 11
aboard 4
academic 1
again 1
all 1
also 2
amazon 2
amazons 3
an 2
and 8
apparently 1
are 9
as 4
at 2
away 1
back 1
be 4
because 1
becoming 1
been 1
begin 1
being 2
between 1
blackett 1
blows 1
boats 2
book 1
bought 1
burns 1
by 5
calm 1
camblidge 2
captain 5
capture 1
cat 2
causes 1
chang 2
children 2
china 1
chinese 1
chop 1
chopped 1
claims 1
coast 1
concerned 1
consider 1
crew 1
danger 1
dangerous 1
daring 1
dead 1
decided 1
decides 1
destroy 1
died 1
dragon 1
duck 1
during 1
education 1
encounter 1
england 2
escape 2
evade 1
eventually 1
excels 1
execution 1
father 1
featured 1
fed 1
festival 1
fighting 1
fire 1
flancisco 1
flint 5
for 1
from 4
frustrated 1
gibber 1
give 1
go 1
gorge 1
green 1
guard 1
gunboat 1
had 1
has 2
have 1
having 1
he 2
head 1
heads 1
hears 1
held 1
help 1
her 4
him 1
his 1
hopes 1
however 2
hundredth 1
if 1
in 5
intervention 1
is 4
islanders 1
islands 3
it 1
junk 2
kept 1
later 1
latin 2
leader 1
learn 1
leave 1
lee 5
lessons 2
lord 1
make 1
mayor 1
meet 1
might 1
missee 5
monkey 1
moon 2
much 1
navy 1
next 1
night 1
of 9
off 2
on 2
one 1
only 2
opens 1
other 1
out 2
owes 1
own 1
passage 1
people 1
peter 1
picked 1
pirate 1
pirates 3
plan 1
port 2
position 1
ransom 1
responsibilities 1
return 3
roger 1
roundtheworld 1
royal 1
rule 2
sail 1
san 1
saved 1
schooner 1
sea 1
seen 1
sent 3
separated 1
set 1
sextant 1
she 5
shining 2
ship 1
shore 1
sinks 1
sisters 1
small 1
so 2
south 1
stage 1
starts 1
stay 1
still 1
stricter 1
strong 1
study 1
surprisingly 1
swallow 1
swallows 3
taicoon 4
taicoons 1
take 1
that 3
the 38
their 6
them 2
they 10
threatened 1
three 3
through 1
to 22
turns 2
uncle 1
under 1
unite 1
unnamed 1
up 3
used 1
various 1
vessel 1
voyage 2
warned 1
waterline 1
way 1
were 1
when 4
where 1
which 5
who 5
wild 2
wind 1
with 4
wu 1
