27425089
/m/0c02dm2
/m/0c02dm2
Anthony Trollope


a 12
accepts 3
accident 1
action 1
after 2
allying 1
also 2
an 2
and 16
annulled 1
anxious 1
are 4
at 2
available 1
be 2
beautiful 1
because 1
been 2
before 1
being 1
bertram 1
bonner 1
bootmaker 1
borough 2
both 1
breechesmaker 1
but 1
buy 1
buying 1
by 8
can 3
candidates 2
cannot 1
character 1
choice 1
class 1
comes 1
completed 1
conducted 1
consent 1
conservative 3
continue 1
corruption 1
creditors 3
daughter 2
dearly 1
death 2
debt 1
deep 1
describes 1
despite 1
disfranchised 1
does 1
eager 1
election 3
embarrassing 1
entailed 1
estate 4
eventually 2
extricate 1
fairly 1
family 1
father 2
fellow 1
fictional 1
first 1
for 3
four 1
from 2
full 2
future 1
go 1
good 1
gregory 1
hand 1
harassed 1
has 5
he 6
heir 2
her 1
hesitatingly 1
him 2
himself 3
his 14
honestly 1
however 2
hunting 1
if 1
illegitimate 2
in 6
income 1
incumbents 1
induces 1
interest 1
into 2
is 11
it 3
its 2
killed 1
large 1
lead 1
leave 1
legal 1
liberal 1
loves 1
lower 1
major 1
marriage 2
married 1
marrying 1
mary 1
matter 1
mean 1
meantime 1
might 1
moggs 2
money 1
much 1
named 1
natural 1
neefit 3
neither 1
nephew 3
never 1
nevertheless 1
new 1
newton 5
niece 1
not 1
nothing 1
novel 1
now 1
obtain 1
of 15
offer 2
offers 1
oftrepeated 1
old 1
on 2
one 4
ontario 1
or 1
other 1
own 1
parliament 1
parliamentary 1
pass 1
percycross 2
pervasive 1
petition 1
polly 4
possession 2
preference 1
priory 1
property 1
proposals 1
proposed 1
proposes 1
prosperous 1
publicity 1
putting 1
radical 1
raising 1
ralph 7
rejected 2
resolved 1
reversion 1
risk 1
run 1
safe 1
seats 1
second 1
see 1
seeking 1
seized 1
selling 1
she 1
sir 3
so 1
social 2
son 4
soon 1
spendthrift 1
squire 8
standing 1
that 3
the 36
there 1
they 1
this 1
thomas 3
threatens 1
thus 1
title 1
to 11
traditional 1
transaction 1
twice 1
two 4
uncle 1
upon 1
vacillates 1
votes 1
ward 1
ways 1
wealthy 1
which 2
who 3
whom 1
will 1
win 1
with 2
would 1
wrong 1
