14091616
/m/03ct8q6
/m/03ct8q6
Robert Ludlum
1992-02-08
a 4
after 1
against 1
air 2
americans 1
and 3
area 1
as 1
at 1
base 1
become 1
between 1
bring 1
command 1
court 1
devereaux 1
discovered 1
events 1
force 1
from 1
further 1
gandolfo 1
give 1
goal 1
government 1
granted 1
has 2
hawk 2
he 1
home 1
in 1
includes 1
into 1
it 1
land 2
longforgotten 1
member 1
military 1
native 1
nebraska 1
now 1
of 5
offutt 1
omaha 1
plans 1
posing 1
representing 1
retired 1
road 1
ropes 1
several 1
since 1
states 1
strategic 1
suit 1
that 1
the 14
this 2
to 5
treaty 2
tribe 5
united 1
us 1
vast 1
years 1
