5421043
/m/0dl350
/m/0dl350
Kate Orman

{"/m/014dfn": "Speculative fiction"}
2002 1
a 13
able 1
accidentally 2
actions 1
addiction 1
after 2
again 1
agrees 1
also 1
alter 1
ambition 1
amongst 1
amount 1
and 26
another 1
appeared 1
are 1
arrive 1
arrived 1
arrives 1
as 1
at 3
attack 1
attacked 1
attacks 1
attempts 2
attracted 1
away 1
back 1
bay 2
be 3
because 2
become 1
been 3
before 1
begins 1
behind 2
being 1
biodata 9
blocking 1
blonde 5
both 1
box 3
boy 5
brought 1
but 10
by 4
called 1
cant 1
categorize 1
causes 1
causing 2
cease 1
change 1
check 1
city 5
claims 2
close 4
collect 1
coming 2
confronts 1
contact 1
contacts 1
create 1
created 2
creature 1
creatures 3
crushed 1
currently 1
dark 4
days 1
decides 2
delivers 1
destroy 3
destroyed 1
detecting 1
detects 1
devices 2
dimension 1
dimensionally 1
dimensions 3
discover 1
discovers 1
distract 1
do 1
doctor 29
doctors 1
drug 1
earth 1
edit 1
eighth 1
enable 1
energy 1
equipment 5
escape 1
escapes 1
every 1
exist 2
experimenting 3
explain 1
explains 4
exposed 2
faction 3
fails 1
fell 1
finds 3
finishes 1
fits 1
fitz 6
food 2
for 2
francisco 1
frees 1
from 9
gate 1
get 1
go 1
goes 2
golden 1
griffin 14
ground 1
hair 1
haired 1
harm 1
has 5
have 1
he 8
hed 1
help 1
henchmen 1
her 6
here 1
herself 1
higher 2
him 8
his 8
hotel 2
if 1
in 16
inside 1
into 3
is 10
isnt 1
it 6
jones 1
joyce 5
jumps 1
just 1
kidnap 1
kidnapped 2
kidnaps 1
kraken 6
largest 1
later 1
learning 1
learns 1
leave 1
left 1
life 1
like 1
limit 1
lines 1
lives 1
living 1
london 2
look 1
looking 1
lords 1
lying 1
machine 1
man 3
meets 1
member 2
members 1
name 1
needed 1
new 1
no 1
normal 1
notices 1
now 3
observe 1
obtain 1
of 7
offers 1
old 1
on 3
one 1
only 3
onto 1
originally 1
other 3
out 2
own 2
paradox 3
park 1
places 1
progress 1
promises 1
pulls 1
pulses 1
push 1
realizes 1
refuses 2
releases 2
remove 1
removed 1
removes 1
repair 1
repairing 1
rescue 1
rescues 1
return 1
returning 1
returns 1
reveals 1
reversed 1
runs 1
sacrifice 1
sam 14
sample 1
san 1
scar 19
scientist 1
seal 1
see 1
seeing 1
shadow 1
she 6
shocked 1
shop 1
should 1
shouldnt 1
simplify 1
so 2
soon 1
space 1
specimen 2
specimens 1
stabilise 1
strain 1
strange 1
street 1
struggling 1
takes 1
tardis 6
tells 4
ten 1
that 16
the 93
their 1
them 6
then 2
there 1
they 2
this 2
though 1
threatens 1
three 1
threw 1
throws 1
time 4
to 38
tracking 2
transcendental 1
trapped 1
traps 2
travelling 1
tries 1
trying 1
turning 1
under 1
universe 1
unless 1
unnatural 1
vulnerable 1
wants 2
was 4
well 1
when 6
which 3
who 8
why 1
will 5
with 7
works 1
year 1
