5273081
/m/0dbz7v
/m/0dbz7v
Michael Cunningham
2005-06
1th 1
a 13
accidentally 1
affirmation 1
affliction 1
afterlife 1
aftermath 1
all 1
also 1
and 7
are 1
as 3
at 3
become 1
becoming 1
been 1
begins 1
believes 1
bereaved 1
book 1
brother 1
but 1
by 2
catherine 4
century 1
city 2
classes 1
cogs 1
commonplace 1
concern 1
concerned 1
contemporary 1
course 1
crushed 1
death 1
demeaned 1
disfigured 1
due 1
during 2
each 2
embarks 1
even 1
factory 4
family 1
favourite 1
fear 3
fears 1
for 1
from 1
function 1
ghost 3
giant 1
girlfriend 1
going 1
grass 1
had 1
has 3
he 1
her 2
him 3
human 1
humanity 1
humans 1
importance 2
in 11
individual 2
industrial 4
inhabit 1
inhabits 1
intermittently 1
into 1
is 2
its 2
itself 1
kill 1
killed 1
killing 1
larger 1
leads 1
leaves 1
life 1
light 1
lower 1
lucas 10
machine 6
machines 3
man 1
may 1
meets 1
midtolate 1
mission 1
new 2
not 1
of 12
on 2
only 1
own 1
people 1
place 1
poetry 2
positioning 1
poverty 1
present 1
preventing 1
replace 1
represent 1
result 1
revolution 4
same 1
save 1
scale 1
seamstress 1
sends 1
set 1
simon 8
spouts 1
story 1
strange 1
sucked 1
take 1
that 2
the 26
them 1
this 2
through 1
time 2
to 9
transcendental 1
try 1
uncontrollably 1
view 1
wake 1
walt 2
was 1
where 1
which 2
whitman 3
with 2
work 2
working 1
works 1
york 2
young 1
younger 1
