15629907
/m/03nn2ym
/m/03nn2ym
Tami Hoag

a 6
able 1
advocate 1
against 1
agent 1
and 4
as 2
be 2
billionaire 1
bodies 1
brings 1
bureau 1
burning 1
claims 1
conlan 2
cremator 1
daughter 1
fbi 1
fire 1
former 1
have 2
his 1
history 1
homeless 1
in 1
is 1
it 1
john 1
kate 1
killer 1
killing 1
known 1
local 1
lunatic 1
minds 1
minneapolis 1
now 2
of 2
on 1
one 1
out 1
painful 1
parks 1
personal 1
profiler 1
prostitutes 1
quinn 2
read 1
seems 1
serial 1
serialkiller 1
setting 1
share 1
smart 1
teenager 1
the 4
their 2
they 1
to 5
together 2
top 1
turns 1
very 1
victims 1
victimwitness 1
when 1
who 1
witnessed 1
work 1
working 1
