29407093
/m/0ds13k8
/m/0ds13k8
David Whitley
2009
a 9
about 2
accommodation 1
adjust 1
agora 4
aid 2
all 2
almshouse 2
along 1
an 2
and 23
are 2
as 2
asks 1
assistant 1
astrologer 5
at 1
back 1
banished 1
bar 1
be 3
become 2
becomes 3
been 1
before 1
being 2
betray 1
both 2
brokers 1
but 2
by 4
care 1
charter 1
cherubina 1
choice 1
city 2
comes 1
count 6
cured 1
deadly 1
deal 1
debtor 1
debtors 1
decides 1
declines 1
delirious 1
director 4
discovered 1
do 1
doctor 2
does 1
dr 4
dreamlike 1
due 1
dumped 1
fact 1
falls 1
father 2
fever 2
food 1
for 1
founders 1
free 1
from 3
furious 1
gives 1
go 1
grandfather 1
greatest 2
had 1
happening 1
has 2
he 14
helps 1
her 3
high 1
him 2
himself 2
his 7
hope 1
horrid 1
how 1
idea 1
in 9
investigation 1
is 8
it 1
known 1
knows 1
learn 1
leave 3
life 1
lily 9
living 1
made 1
manages 1
mark 17
marrying 1
meantime 1
medical 1
medicine 1
meets 1
midnight 1
more 1
most 1
mr 2
must 1
need 1
newfound 1
newly 1
no 1
not 1
novel 1
numerous 1
occasions 1
of 8
old 1
on 1
only 1
or 1
orders 1
others 1
outside 1
overthrow 2
pending 1
person 1
plans 1
pondering 1
power 2
powerful 2
prison 3
provide 1
put 1
receipts 1
replaces 1
reputation 1
servant 1
serve 1
she 4
shocking 1
snutworth 5
society 1
sold 1
soon 6
spend 1
stake 1
start 1
starts 1
state 1
stating 1
stay 1
stelli 2
struggle 1
successfully 1
suffers 1
summoned 1
support 1
survive 1
take 2
taught 1
tells 1
terrible 1
that 5
the 25
theo 2
theophilus 2
those 1
time 1
to 14
tower 2
treat 1
treated 1
two 1
up 1
walls 1
want 1
wanted 1
warden 1
was 2
watched 1
way 1
what 2
while 4
will 4
with 11
would 1
