1230789
/m/04kh2k
/m/04kh2k
Frederick Douglass
1845
{"/m/0xdf": "Autobiography"}
2 1
4 1
7 1
a 24
abolition 1
abused 1
act 1
actually 1
affect 1
after 5
again 1
against 1
age 2
all 2
almost 1
alongside 1
alphabet 1
also 1
ambition 1
an 4
and 30
another 1
antislavery 1
apparently 1
apprentice 1
are 4
as 5
at 11
attempted 1
attempts 1
attending 1
attends 1
auld 7
aunt 1
away 2
awkwardness 1
back 3
baltimore 3
basis 1
battle 1
be 7
beaten 3
because 4
become 1
becomes 1
been 2
before 2
befriends 1
begins 3
behave 1
being 3
believed 1
believes 1
better 1
between 2
birth 1
brutal 1
brutality 1
brutally 1
but 10
by 7
camp 1
can 2
caught 1
caulker 1
cause 1
causes 1
causing 1
cent 1
chapters 1
collapse 1
common 1
complains 1
conquers 1
considers 1
continues 3
control 1
convention 1
could 2
covey 5
cruel 4
date 2
daughter 1
day 2
describes 1
describing 1
details 3
develop 1
develops 1
did 1
died 1
dies 1
direction 1
disapproves 2
discusses 1
divided 1
do 1
does 3
doing 1
douglass 27
due 2
early 1
eleven 2
employed 1
encompasses 1
ensure 1
entire 1
escape 3
especially 1
even 3
events 1
eventually 4
every 1
exhaustion 1
explaining 1
extreme 2
eye 2
family 1
farms 1
father 1
fear 1
fed 1
feels 1
fellow 1
few 1
fianc 1
field 1
fields 1
fight 1
fights 1
finally 1
find 1
finds 1
first 1
fit 1
for 4
forced 1
forth 1
found 1
frederick 1
free 1
from 3
future 1
gains 1
give 2
goes 1
had 4
hand 1
happens 1
hard 1
harshly 1
has 2
hatred 1
have 2
having 1
he 43
healed 1
hearing 1
help 1
helped 1
her 1
hester 1
him 7
himself 1
his 20
holders 1
hope 1
hour 1
how 9
hugh 3
husband 1
idea 1
if 2
importance 2
important 2
in 12
information 1
intentionally 1
interacting 1
interaction 1
is 26
it 2
jail 1
job 1
kept 1
kind 2
know 1
later 1
lawyer 1
learn 3
learns 2
left 3
lent 1
let 1
life 4
live 2
lives 1
livestock 1
long 1
lucky 1
make 1
makes 1
man 2
many 1
maryland 1
master 7
masters 2
mental 1
methodist 1
michael 1
mistress 1
more 2
most 1
mother 3
moved 3
mr 4
mrs 1
narrative 3
nearly 1
never 1
new 2
newfound 1
nighttime 1
north 2
northeasterly 1
not 6
note 1
notion 1
occasion 1
occurs 1
of 20
off 1
old 1
on 4
once 2
one 2
only 2
operate 1
or 1
order 1
other 2
others 1
outwardly 1
own 2
owner 1
owners 1
particularly 1
people 2
person 1
physical 1
pitied 1
plan 1
plans 1
plantation 1
play 1
pleased 1
point 5
possibilities 1
possibility 1
practice 1
presence 1
property 1
protect 1
punished 1
put 1
rare 1
rather 1
read 5
reader 1
reading 1
realizes 1
receives 1
recount 1
refuse 1
refuses 1
regarding 1
regrets 1
relatively 1
released 1
remained 1
required 1
return 1
role 1
run 2
sad 1
saddened 1
saying 1
says 1
section 1
see 1
sees 1
sends 1
sent 4
separated 1
several 2
shipyard 2
simply 1
singing 1
situation 1
skill 2
slave 4
slavery 3
slaves 11
small 1
so 2
some 1
something 1
son 2
sophia 2
spell 1
st 1
starts 1
states 1
story 1
structure 1
succeeds 1
supports 1
supposed 1
takes 2
tasks 1
taught 1
teaches 1
tell 1
telling 1
ten 1
tended 1
text 1
that 14
the 38
their 3
them 1
then 2
there 1
they 7
this 18
thomas 2
those 1
through 1
tie 1
time 5
times 1
to 46
torments 1
trade 1
traveled 1
tries 1
truth 1
turned 1
turns 1
two 1
ultimately 3
under 1
understanding 1
unites 1
unmanageable 1
until 1
up 1
upon 2
valued 1
very 4
voyage 1
wages 1
was 7
weekly 1
well 2
were 1
what 2
when 10
where 4
which 4
while 2
whipped 2
white 3
whites 1
who 6
why 1
will 2
with 5
witnesses 1
woman 2
word 1
words 1
worked 1
working 2
would 3
wound 1
write 1
year 1
years 2
young 1
