4579836
/m/0c9wf4
/m/0c9wf4
Michael Campbell
1967
{"/m/05hgj": "Novel"}
124 1
15 2
156 1
160s 1
180 1
184 1
1st 1
3rd 1
4th 1
a 11
across 1
adults 1
affair 1
against 1
allen 1
an 1
and 5
apparently 1
as 1
at 4
attended 1
author 1
b 1
bar 1
baron 1
barrister 1
based 1
become 1
between 2
boy 1
boys 2
briefly 1
brother 2
campbell 4
carleton 1
college 1
columba 1
columbas 1
consenting 1
contemporaneous 1
deals 1
depicts 1
dismiss 2
dublin 1
dubliner 1
dying 1
enforce 1
english 1
fantasy 1
for 1
former 1
glenavy 2
grandson 1
he 2
headmaster 1
his 3
history 1
homosexuality 1
humorist 1
in 9
included 1
internal 1
irish 2
is 2
it 3
itself 1
junior 1
last 1
legalised 1
liaisons 1
life 1
london 3
lord 4
love 1
loves 1
married 1
mary 1
michael 2
mussen 1
never 1
novel 1
novels 1
now 1
of 6
oh 1
on 1
other 1
patrick 2
period 1
perry 1
peter 1
policy 1
politics 1
public 1
published 1
same 2
school 4
schoolmaster 1
set 2
sixth 1
st 2
story 1
succeeded 1
such 2
suicide 1
that 1
the 20
theatrical 1
this 1
time 2
times 1
to 2
together 1
trinity 1
trying 1
two 2
uk 1
us 2
was 6
water 1
who 1
with 2
work 1
worked 1
writing 1
year 1
years 1
