7838286
/m/026fsyd
/m/026fsyd
André Franquin
1961

a 5
abilities 1
acquaintance 1
admirer 1
an 1
and 3
announce 1
appears 1
as 2
attempt 1
barely 1
but 2
by 1
champignac 2
chance 1
count 4
criminal 1
decides 1
demonstrate 1
destruction 1
domination 1
dryer 1
fails 1
fantasio 2
firmly 1
for 1
forcing 1
from 2
gift 1
hair 1
him 2
his 2
hypnotic 1
in 4
into 1
is 2
it 1
its 1
join 1
just 1
kidnap 1
laboratory 1
leads 1
manipulating 1
mansion 1
mastermind 1
nearly 1
new 1
of 5
offers 1
old 1
ominous 1
outwit 1
past 1
powers 1
presence 1
proceeds 1
receives 1
rejected 1
response 1
secret 1
seizing 1
spirou 2
storm 1
the 11
this 1
to 9
township 1
travel 1
unexpected 1
universe 1
village 1
which 1
world 1
z 1
zorgland 1
zorglhomize 1
zorglhomme 1
zorglman 1
zorglub 4
