18814395
/m/04gkzd3
/m/04gkzd3
Charles Stross
2006-12-31
100000 1
162 1
2 1
200000 1
20th 1
800000 1
a 14
aboriginal 1
according 1
action 1
actually 1
advanced 1
advantage 1
affair 1
again 1
alderson 3
alien 1
almost 1
america 1
american 1
americans 1
an 8
and 19
approximately 1
are 8
areas 1
artificial 1
as 4
asia 1
atoms 1
attraction 1
away 2
background 1
basis 2
be 2
because 1
become 1
becomes 1
been 3
before 1
begin 1
begins 1
behalf 1
between 1
bomber 1
book 2
both 2
breaks 1
briefings 1
but 4
by 4
calendar 1
capable 2
captains 1
century 1
cepheid 1
change 2
changes 1
character 1
characters 2
chemicalfueled 1
cities 1
civilization 1
clear 1
clearance 1
clearly 1
cloud 1
codewords 1
cold 1
collection 1
colonists 1
confirming 1
connected 1
conquer 1
constant 1
continents 2
control 1
controlled 1
controlling 1
copied 1
creatures 1
cruise 2
currently 1
date 1
destroyed 2
destruction 1
deterrence 1
deterrent 1
died 1
direction 1
disk 4
display 1
distant 2
does 1
down 1
drop 1
duplicates 1
during 1
earth 4
earths 1
ekranoplan 1
elliptical 1
entire 1
entomologist 1
epoch 1
europe 1
eventually 1
evidence 1
examples 1
exchange 1
explain 1
exploration 1
fact 1
far 1
farther 1
fatally 1
feasible 1
field 1
filled 1
first 1
flat 1
for 7
forms 1
from 2
further 1
furthermore 1
gagarin 2
galaxy 1
gap 1
give 1
government 1
gravitational 1
gregor 3
guiding 1
hans 1
happen 1
happened 1
has 3
have 3
heavily 1
highly 1
his 2
holbright 1
housewife 1
huge 1
humanity 3
humans 2
hypotheses 1
hypothesis 1
icbm 1
icbms 1
implied 1
impossible 1
in 8
inbetween 1
indicate 3
infer 1
information 2
inhabited 1
initially 1
instantly 1
intelligence 2
into 1
inversesquare 1
is 15
island 1
islands 1
it 3
john 1
later 2
latter 1
launch 1
launching 1
law 1
legs 1
lesser 1
levels 1
liners 1
lived 1
located 1
location 1
longer 3
longrange 1
madelaine 1
magellanic 1
major 1
makes 1
making 1
martin 2
marvin 1
measurements 1
metaldepleted 1
milky 1
minsky 1
missile 2
missiles 1
mock 1
moravec 1
moved 1
much 3
named 1
native 1
near 1
new 2
no 4
north 1
not 3
novella 1
now 2
nuclear 5
nuclearpowered 2
occur 1
october 1
of 30
off 1
on 5
one 1
only 1
onto 2
or 2
orbit 1
orbits 1
original 1
other 1
over 1
parabolic 1
past 1
path 1
peeled 1
people 1
perpendicular 1
pheromone 1
physical 1
planet 1
plot 3
polar 1
previously 2
projection 1
provide 2
purpose 1
rather 1
reaching 1
reality 1
recreation 1
recur 1
reddened 1
resources 1
role 1
roughly 1
route 1
ruby 1
satellite 1
saved 1
second 1
secret 1
sections 1
security 1
seems 1
segments 1
several 1
shipped 1
shown 1
signs 1
simulated 1
sky 1
snapshot 4
so 2
some 1
somehow 1
soviet 1
soviets 1
spherical 2
stars 2
states 1
strategic 1
stross 1
stung 2
subplots 1
successful 1
such 1
suggested 2
suggests 2
super 1
superpowers 1
supporting 1
surface 4
take 1
taken 3
takes 1
technology 1
tensions 1
termite 1
termites 2
than 2
that 14
the 59
their 1
themes 1
theories 2
there 2
they 1
this 2
thousands 1
three 1
thus 1
to 11
towards 1
trajectories 1
transplanted 1
travels 1
triad 1
turns 1
two 3
typeiii 1
underwent 1
union 1
universe 1
unknown 1
up 2
use 2
used 3
variable 1
war 2
was 2
way 1
were 2
western 1
which 1
whilst 1
who 1
will 1
with 5
within 1
works 1
world 3
would 2
wrapped 1
years 3
yuri 1
