1750296
/m/03bx53q
/m/03bx53q
Christopher Brookmyre
1997
a 4
against 1
all 1
almost 1
an 1
and 4
announcing 1
are 2
arrested 1
as 1
at 2
attempt 1
attention 1
be 1
before 1
blood 1
body 1
bodyguards 1
breaks 1
burglar 1
burglars 1
carrow 1
caught 1
claiming 1
client 2
conservative 1
contents 1
country 1
covered 1
crime 2
culprits 1
days 1
demanding 1
did 1
dissatisfaction 1
edinburgh 1
envelope 1
expects 1
few 1
fleeing 1
for 1
former 1
found 1
four 1
glare 1
government 1
guy 1
have 2
he 1
hell 1
her 4
his 4
hours 1
house 1
however 1
if 1
immediately 1
in 3
including 1
ineffective 1
innocence 1
intense 1
is 3
it 1
john 1
known 1
last 1
lawyer 2
left 1
letter 1
lie 1
life 1
likes 1
loose 1
made 1
major 1
mcinnes 2
media 2
men 1
mogul 1
mounting 1
murdered 2
next 1
nicole 1
obvious 2
of 4
on 1
outside 1
over 1
paul 1
pay 1
place 1
police 1
proves 1
really 1
roland 1
room 1
scene 1
scotland 1
secret 1
see 1
seem 1
selfindulgent 1
set 1
she 1
slain 1
son 1
spammy 1
station 1
strange 1
tabloid 1
that 3
the 13
their 2
thing 1
thomas 1
to 5
took 1
tory 1
turns 1
two 1
under 1
up 1
very 1
visit 1
voss 1
vosss 1
what 1
when 2
while 1
who 1
why 1
wife 1
with 1
within 1
