13949879
/m/03cp2_g
/m/03cp2_g
Randall Kenan
1989-07
a 8
about 2
advice 1
advises 1
all 1
an 2
and 13
any 1
apparently 1
argument 1
armed 1
around 1
asa 1
at 1
attempts 1
baptist 1
be 1
becomes 1
being 1
believe 1
bible 2
bird 1
black 1
book 1
books 1
but 2
by 1
cant 2
carolina 1
church 2
closest 1
closet 1
comes 1
comic 1
condemns 1
confronted 1
constantly 1
convinced 1
cousin 1
creek 1
cross 2
demon 1
desire 1
dialogue 1
diner 1
dont 1
drives 1
dwell 1
elder 1
end 1
events 1
experiencing 1
explaining 1
ezekiel 3
fact 1
fails 1
failures 1
family 3
fascinated 1
fate 1
fine 1
flashbacks 1
for 2
forcing 1
friends 1
from 2
fundamentalist 1
gay 1
give 1
going 1
grandfather 1
greataunt 1
greene 1
grows 1
gun 1
has 2
he 7
heart 1
high 1
him 2
himself 1
his 14
hometown 1
homosexuality 2
horace 8
hospital 1
how 1
identity 1
in 7
internal 1
into 2
is 6
it 3
jimmy 5
journey 1
life 1
local 1
lord 1
make 1
me 1
minister 2
mixed 1
more 1
mostly 1
much 1
naked 1
north 1
of 9
old 1
on 1
one 1
out 1
own 1
paradoxically 1
past 1
possessed 1
present 2
principal 1
problem 1
problems 1
proud 1
quell 1
quest 1
real 1
references 1
relatives 1
remains 1
revelations 1
ritual 1
ruth 2
save 1
school 1
science 1
search 1
see 1
self 1
solve 1
sometime 1
spite 1
starts 1
stay 1
story 3
struggles 1
take 1
teach 1
teenager 1
tell 1
telling 1
testament 1
that 2
the 15
their 1
them 1
this 2
thread 1
tims 1
to 15
too 1
transformation 1
tries 1
turn 3
uncle 1
unsuccessful 1
up 1
wanders 1
when 3
which 2
with 7
wrestle 1
youll 1
your 1
