771158
/m/03b4gh
/m/03b4gh
Peter Shaffer


30 1
a 32
about 3
abruptly 1
across 1
action 1
activity 1
advance 2
advances 2
affair 1
after 1
again 1
ages 1
ago 1
agrees 2
aguish 1
aid 1
alcohol 1
alight 1
all 1
almost 1
alone 1
along 1
an 8
and 57
anger 1
angrily 1
answers 1
antique 1
antiquity 1
apartment 3
apparently 1
appreciated 1
are 4
arrange 2
arrival 1
arrive 1
arrived 1
arrives 3
art 1
as 21
astonishment 1
astoundingly 1
at 9
attempt 2
attempts 1
attracted 1
avail 1
away 2
bamberger 7
bank 1
bartered 1
be 4
becomes 1
bedroom 2
been 1
begin 1
begins 2
being 1
betray 1
betrayed 1
between 1
beyond 1
black 1
blackout 1
blazes 1
blind 1
blindly 1
blows 1
board 1
bogus 1
bohemian 1
born 1
bottom 1
box 1
breaks 1
bride 1
brindsley 42
buddha 2
buddhaharold 1
burning 1
bursts 1
but 8
by 4
calling 1
calls 1
can 1
candles 1
carol 22
carrying 1
cast 1
casting 1
catches 2
catching 1
causing 1
cellar 3
center 1
challenges 1
charge 1
chum 1
circuits 1
claiming 2
clea 14
cleaning 1
closed 1
cockney 1
collector 1
colonel 14
come 1
comes 1
coming 2
complete 2
concedes 1
concocts 1
confesses 1
confusion 2
consoling 2
contemplate 1
continues 1
contrived 1
course 1
crash 1
dark 7
darkness 4
dashes 1
daughter 1
day 1
dead 1
deaf 2
debutante 1
declares 1
decoys 1
deduces 1
deems 1
demanding 1
denies 1
descends 1
desperate 1
desperately 1
discovered 2
discovering 2
discovers 1
discuss 1
disheveled 1
dislike 1
dissolve 1
distracts 1
done 1
down 1
downstairs 1
dressed 2
drinks 2
drunken 3
early 1
electrician 6
electricity 1
eloquent 1
emerges 3
engagement 2
enters 3
eternally 1
evening 3
everyone 4
everything 1
examine 1
excitedly 1
exclaims 1
excuse 1
exit 1
exits 3
expensive 1
explains 1
extremely 1
exultant 1
face 1
facts 1
falls 2
father 3
fear 1
fears 1
feelings 1
fiance 1
finally 2
find 1
fine 1
finland 1
first 1
five 1
fixed 1
flat 3
flicks 1
flourish 1
follows 1
for 10
found 2
four 2
frantically 1
friend 1
from 11
full 1
furious 1
furniture 4
furnival 11
fury 1
fuse 5
future 1
gale 1
games 1
gas 1
georg 3
german 2
gin 1
give 1
given 1
go 2
god 1
goes 1
going 2
good 1
gorringe 3
grabs 1
great 2
grow 1
grudging 1
guests 4
guineas 1
guise 1
gulbenkian 1
hall 1
hand 1
hands 1
happily 1
harold 21
has 5
have 2
he 22
heard 1
heathens 1
her 16
hide 1
high 1
him 8
himself 1
his 22
hold 2
hooked 1
horrified 1
horror 1
hundred 1
hunt 1
hurriedly 1
hysterics 1
i 1
identity 2
idyllic 1
if 2
ill 1
illuminated 2
illuminates 1
im 2
imminent 1
impress 1
impressed 1
in 41
including 1
inconceivably 1
inexhaustibly 1
inextinguishably 1
informs 2
infuriate 1
inquires 1
inside 1
instant 2
instantaneously 1
instantly 2
interrupted 2
into 8
invents 1
iron 1
is 26
it 13
items 1
jackets 1
judgement 1
just 11
keep 1
kensington 1
kinky 1
kisses 1
known 1
lamps 1
large 2
last 1
later 1
laughter 1
leading 1
